_time,_value
2023-01-01 08:00:00+00:00,27542.2
2023-01-01 08:05:00+00:00,27542.8
2023-01-01 08:10:00+00:00,27543.4
2023-01-01 08:15:00+00:00,27543.9
2023-01-01 08:20:00+00:00,27544.4
2023-01-01 08:25:00+00:00,27545.0
2023-01-01 08:30:00+00:00,27545.7
2023-01-01 08:35:00+00:00,27546.2
2023-01-01 08:40:00+00:00,27546.9
2023-01-01 08:45:00+00:00,27547.6
2023-01-01 08:50:00+00:00,27548.1
2023-01-01 08:55:00+00:00,27548.8
2023-01-01 09:00:00+00:00,27549.5
2023-01-01 09:05:00+00:00,27550.2
2023-01-01 09:10:00+00:00,27550.9
2023-01-01 09:15:00+00:00,27551.5
2023-01-01 09:20:00+00:00,27552.0
2023-01-01 09:25:00+00:00,27552.7
2023-01-01 09:30:00+00:00,27553.2
2023-01-01 09:35:00+00:00,27553.8
2023-01-01 09:40:00+00:00,27554.5
2023-01-01 09:45:00+00:00,27555.0
2023-01-01 09:50:00+00:00,27555.6
2023-01-01 09:55:00+00:00,27556.1
2023-01-01 10:00:00+00:00,27556.5
2023-01-01 10:05:00+00:00,27557.1
2023-01-01 10:10:00+00:00,27557.7
2023-01-01 10:15:00+00:00,27558.3
2023-01-01 10:20:00+00:00,27558.8
2023-01-01 10:25:00+00:00,27559.5
2023-01-01 10:30:00+00:00,27560.1
2023-01-01 10:35:00+00:00,27560.6
2023-01-01 10:40:00+00:00,27561.3
2023-01-01 10:45:00+00:00,27561.8
2023-01-01 10:50:00+00:00,27562.4
2023-01-01 10:55:00+00:00,27563.0
2023-01-01 11:00:00+00:00,27563.7
2023-01-01 11:05:00+00:00,27564.3
2023-01-01 11:10:00+00:00,27564.9
2023-01-01 11:15:00+00:00,27565.5
2023-01-01 11:20:00+00:00,27566.0
2023-01-01 11:25:00+00:00,27566.5
2023-01-01 11:30:00+00:00,27567.0
2023-01-01 11:35:00+00:00,27567.6
2023-01-01 11:40:00+00:00,27568.1
2023-01-01 11:45:00+00:00,27568.6
2023-01-01 11:50:00+00:00,27569.1
2023-01-01 11:55:00+00:00,27569.6
2023-01-01 12:00:00+00:00,27570.1
2023-01-01 12:05:00+00:00,27570.6
2023-01-01 12:10:00+00:00,27571.1
2023-01-01 12:15:00+00:00,27571.7
2023-01-01 12:20:00+00:00,27572.2
2023-01-01 12:25:00+00:00,27572.9
2023-01-01 12:30:00+00:00,27573.4
2023-01-01 12:35:00+00:00,27573.9
2023-01-01 12:40:00+00:00,27574.5
2023-01-01 12:45:00+00:00,27575.0
2023-01-01 12:50:00+00:00,27575.5
2023-01-01 12:55:00+00:00,27576.2
2023-01-01 13:00:00+00:00,27576.7
2023-01-01 13:05:00+00:00,27577.3
2023-01-01 13:10:00+00:00,27577.8
2023-01-01 13:15:00+00:00,27578.2
2023-01-01 13:20:00+00:00,27578.8
2023-01-01 13:25:00+00:00,27579.3
2023-01-01 13:30:00+00:00,27579.9
2023-01-01 13:35:00+00:00,27580.4
2023-01-01 13:40:00+00:00,27580.8
2023-01-01 13:45:00+00:00,27581.4
2023-01-01 13:50:00+00:00,27582.0
2023-01-01 13:55:00+00:00,27582.7
2023-01-01 14:00:00+00:00,27583.1
2023-01-01 14:05:00+00:00,27583.7
2023-01-01 14:10:00+00:00,27584.3
2023-01-01 14:15:00+00:00,27585.0
