_time,_value
2023-01-02 00:02:35+00:00,22.017
2023-01-03 00:02:34+00:00,22.151
2023-01-04 00:02:35+00:00,22.299
2023-01-05 00:02:35+00:00,22.396
2023-01-06 00:02:35+00:00,22.515
2023-01-07 00:02:35+00:00,22.66
2023-01-08 00:02:36+00:00,22.76
2023-01-09 00:02:35+00:00,22.914
2023-01-10 00:02:35+00:00,23.183
2023-01-11 00:02:36+00:00,23.361
2023-01-12 00:02:35+00:00,23.577
2023-01-13 00:02:36+00:00,23.632
2023-01-14 00:02:35+00:00,23.632
2023-01-15 00:02:36+00:00,23.632
2023-01-16 00:02:36+00:00,23.632
2023-01-17 00:02:35+00:00,23.632
2023-01-18 00:02:36+00:00,23.632
2023-01-19 00:02:36+00:00,23.875
2023-01-20 00:02:36+00:00,24.018
2023-01-21 00:02:35+00:00,24.173000000000002
2023-01-22 00:02:35+00:00,24.329
2023-01-23 00:02:36+00:00,24.639
2023-01-24 00:02:36+00:00,24.785
2023-01-25 00:02:35+00:00,24.914
2023-01-26 00:02:35+00:00,25.035
2023-01-27 00:02:35+00:00,25.173000000000002
2023-01-28 00:02:35+00:00,25.279
2023-01-29 00:02:35+00:00,25.408
2023-01-30 00:02:36+00:00,25.522000000000002
2023-01-31 00:02:36+00:00,25.611
2023-02-01 00:02:35+00:00,25.727
2023-02-02 00:02:36+00:00,25.803
2023-02-03 00:02:36+00:00,26.003
2023-02-04 00:02:35+00:00,26.116
2023-02-05 00:02:36+00:00,26.189
2023-02-06 00:02:36+00:00,26.295
2023-02-07 00:02:36+00:00,26.382
2023-02-08 00:02:36+00:00,26.482
2023-02-09 00:02:36+00:00,26.621000000000002
2023-02-10 00:02:35+00:00,26.863
2023-02-11 00:02:37+00:00,26.988
2023-02-12 00:02:36+00:00,27.144000000000002
2023-02-13 00:02:36+00:00,27.253
2023-02-14 00:02:36+00:00,27.418
2023-02-15 00:02:37+00:00,27.541
2023-02-16 00:02:36+00:00,27.653000000000002
2023-02-17 00:02:36+00:00,27.757
2023-02-18 00:02:37+00:00,27.891000000000002
2023-02-19 00:02:36+00:00,28.122
2023-02-20 00:02:37+00:00,28.274
2023-02-21 00:02:38+00:00,28.447
2023-02-22 00:02:37+00:00,28.542
2023-02-23 00:02:38+00:00,28.69
2023-02-24 00:02:37+00:00,28.814
2023-02-25 00:02:36+00:00,29.022000000000002
2023-02-26 00:02:37+00:00,29.317
2023-02-27 00:02:35+00:00,29.598
2023-02-28 00:02:38+00:00,29.728
2023-03-01 00:02:36+00:00,29.848
2023-03-02 00:02:37+00:00,29.986
2023-03-03 00:02:36+00:00,30.157
2023-03-04 00:02:35+00:00,30.247
2023-03-05 00:02:36+00:00,30.392
2023-03-06 00:02:37+00:00,30.574
2023-03-07 00:02:36+00:00,30.714000000000002
2023-03-08 00:02:36+00:00,30.857
2023-03-09 00:02:36+00:00,30.985
2023-03-10 00:02:37+00:00,31.089000000000002
2023-03-11 00:02:36+00:00,31.211000000000002
2023-03-12 00:02:37+00:00,31.343
2023-03-13 00:02:36+00:00,31.634
2023-03-14 00:02:37+00:00,31.774
2023-03-15 00:02:38+00:00,31.918
2023-03-16 00:02:37+00:00,32.048
2023-03-17 00:02:37+00:00,32.177
2023-03-18 00:02:37+00:00,32.471000000000004
2023-03-19 00:02:36+00:00,32.64
2023-03-20 00:02:37+00:00,32.83
2023-03-21 00:02:37+00:00,32.967
2023-03-22 00:02:36+00:00,33.124
2023-03-23 00:02:36+00:00,33.244
2023-03-24 00:02:36+00:00,33.384
2023-03-24 11:41:48+00:00,33.441
2023-03-25 00:02:37+00:00,33.521
2023-03-26 00:02:37+00:00,33.784
2023-03-27 00:02:38+00:00,33.965
2023-03-28 00:02:36+00:00,34.123
2023-03-29 00:02:36+00:00,34.259
2023-03-30 00:02:37+00:00,34.372
2023-03-31 00:02:36+00:00,34.496
