_time,_value
2023-01-02 00:01:12+00:00,11.452
2023-01-03 00:01:12+00:00,11.584
2023-01-04 00:01:12+00:00,11.685
2023-01-05 00:01:12+00:00,11.754
2023-01-06 00:01:12+00:00,11.901
2023-01-07 00:01:13+00:00,11.991
2023-01-08 00:01:13+00:00,12.067
2023-01-09 00:01:12+00:00,12.262
2023-01-10 00:01:12+00:00,12.311
2023-01-11 00:01:12+00:00,12.453
2023-01-12 00:01:13+00:00,12.531
2023-01-13 00:01:12+00:00,12.719
2023-01-14 00:01:12+00:00,12.76
2023-01-15 00:01:13+00:00,12.9
2023-01-16 00:01:13+00:00,13.053
2023-01-17 00:01:13+00:00,13.171000000000001
2023-01-18 00:01:12+00:00,13.295
2023-01-19 00:01:13+00:00,13.412
2023-01-20 00:01:12+00:00,13.621
2023-01-21 00:01:12+00:00,13.689
2023-01-22 00:01:13+00:00,13.718
2023-01-23 00:01:13+00:00,13.842
2023-01-24 00:01:13+00:00,13.894
2023-01-25 00:01:13+00:00,13.991
2023-01-26 00:01:13+00:00,14.076
2023-01-27 00:01:13+00:00,14.21
2023-01-28 00:01:14+00:00,14.363
2023-01-29 00:01:12+00:00,14.473
2023-01-30 00:01:12+00:00,14.615
2023-01-31 00:01:12+00:00,14.743
2023-02-01 00:01:13+00:00,14.867
2023-02-02 00:01:13+00:00,14.994
2023-02-03 00:01:12+00:00,15.032
2023-02-04 00:01:14+00:00,15.089
2023-02-05 00:01:12+00:00,15.284
2023-02-06 00:01:13+00:00,15.38
2023-02-07 00:01:13+00:00,15.419
2023-02-08 00:01:12+00:00,15.541
2023-02-09 00:01:12+00:00,15.617
2023-02-10 00:01:12+00:00,15.776
2023-02-11 00:01:13+00:00,15.864
2023-02-12 00:01:13+00:00,15.994
2023-02-13 00:01:13+00:00,16.193
2023-02-14 00:01:12+00:00,16.245
2023-02-14 10:31:34+00:00,16.258
2023-02-14 10:46:15+00:00,16.258
2023-02-14 11:01:15+00:00,16.258
2023-02-14 11:16:13+00:00,16.258
2023-02-14 11:31:13+00:00,16.258
2023-02-14 11:46:13+00:00,16.258
2023-02-14 12:01:12+00:00,16.258
2023-02-14 12:16:13+00:00,16.258
2023-02-14 12:31:12+00:00,16.258
2023-02-14 12:46:13+00:00,16.258
2023-02-14 13:01:12+00:00,16.258
2023-02-14 13:16:13+00:00,16.259
2023-02-14 13:31:13+00:00,16.259
2023-02-14 13:46:13+00:00,16.259
2023-02-14 14:01:13+00:00,16.261
2023-02-14 14:16:14+00:00,16.261
2023-02-14 14:31:13+00:00,16.261
2023-02-14 14:46:14+00:00,16.261
2023-02-14 15:01:13+00:00,16.262
2023-02-14 15:16:13+00:00,16.262
2023-02-14 15:31:13+00:00,16.262
2023-02-14 15:46:13+00:00,16.262
2023-02-14 16:01:12+00:00,16.262
2023-02-14 16:16:14+00:00,16.262
2023-02-14 16:31:13+00:00,16.262
2023-02-14 16:46:13+00:00,16.262
2023-02-14 17:01:12+00:00,16.262
2023-02-14 17:16:12+00:00,16.262
2023-02-14 17:31:12+00:00,16.262
2023-02-14 17:46:11+00:00,16.262
2023-02-14 18:01:12+00:00,16.262
2023-02-14 18:16:11+00:00,16.262
2023-02-14 18:31:11+00:00,16.262
2023-02-14 18:46:12+00:00,16.262
2023-02-14 19:01:11+00:00,16.263
2023-02-14 19:16:11+00:00,16.263
2023-02-14 19:31:12+00:00,16.263
2023-02-14 19:46:11+00:00,16.263
2023-02-14 20:01:12+00:00,16.308
2023-02-14 20:16:12+00:00,16.341
2023-02-14 20:31:11+00:00,16.365000000000002
2023-02-14 20:46:12+00:00,16.37
2023-02-14 21:01:12+00:00,16.372
2023-02-14 21:16:12+00:00,16.372
2023-02-14 21:31:11+00:00,16.372
2023-02-14 21:46:12+00:00,16.372
2023-02-14 22:01:12+00:00,16.373
2023-02-14 22:16:11+00:00,16.377
2023-02-14 22:31:12+00:00,16.377
2023-02-14 22:46:12+00:00,16.377
2023-02-14 23:01:11+00:00,16.377
2023-02-14 23:16:12+00:00,16.377
2023-02-14 23:31:11+00:00,16.377
2023-02-14 23:46:11+00:00,16.377
2023-02-15 00:01:12+00:00,16.377
2023-02-15 00:16:11+00:00,16.377
2023-02-15 00:31:12+00:00,16.377
2023-02-15 00:46:12+00:00,16.377
2023-02-15 01:01:11+00:00,16.377
2023-02-15 01:16:12+00:00,16.377
2023-02-15 01:31:12+00:00,16.377
2023-02-15 01:46:11+00:00,16.377
2023-02-15 02:01:12+00:00,16.377
2023-02-15 02:16:12+00:00,16.377
2023-02-15 02:31:12+00:00,16.377
2023-02-15 02:46:12+00:00,16.377
2023-02-15 03:01:11+00:00,16.377
2023-02-15 03:16:11+00:00,16.377
2023-02-15 03:31:12+00:00,16.377
2023-02-15 03:46:11+00:00,16.377
2023-02-15 04:01:11+00:00,16.377
2023-02-15 04:16:12+00:00,16.377
2023-02-15 04:31:11+00:00,16.377
2023-02-15 04:46:11+00:00,16.378
2023-02-15 05:01:12+00:00,16.378
2023-02-15 05:16:11+00:00,16.378
2023-02-15 05:31:11+00:00,16.378
2023-02-15 05:46:12+00:00,16.378
2023-02-15 06:01:11+00:00,16.378
2023-02-15 06:16:12+00:00,16.378
2023-02-15 06:31:12+00:00,16.378
2023-02-15 06:46:12+00:00,16.378
2023-02-15 07:01:12+00:00,16.378
2023-02-15 07:16:12+00:00,16.378
2023-02-15 07:31:11+00:00,16.378
2023-02-15 07:46:12+00:00,16.378
2023-02-15 08:01:12+00:00,16.378
2023-02-15 08:16:12+00:00,16.42
2023-02-15 08:31:12+00:00,16.421
2023-02-15 08:46:12+00:00,16.421
2023-02-15 09:01:29+00:00,16.421
2023-02-15 09:16:12+00:00,16.421
2023-02-15 09:31:11+00:00,16.421
2023-02-15 09:46:12+00:00,16.422
2023-02-15 10:01:12+00:00,16.422
2023-02-15 10:16:12+00:00,16.422
2023-02-15 10:31:12+00:00,16.422
2023-02-15 10:46:12+00:00,16.423000000000002
2023-02-15 11:01:12+00:00,16.426000000000002
2023-02-15 11:16:12+00:00,16.426000000000002
2023-02-15 11:31:11+00:00,16.426000000000002
2023-02-15 11:46:12+00:00,16.426000000000002
2023-02-15 12:01:11+00:00,16.426000000000002
2023-02-15 12:16:12+00:00,16.426000000000002
2023-02-15 12:31:11+00:00,16.426000000000002
2023-02-15 12:46:11+00:00,16.426000000000002
2023-02-15 13:01:12+00:00,16.426000000000002
2023-02-15 13:16:12+00:00,16.426000000000002
2023-02-15 13:31:12+00:00,16.426000000000002
2023-02-15 13:46:12+00:00,16.426000000000002
2023-02-15 14:01:12+00:00,16.426000000000002
2023-02-15 14:16:12+00:00,16.426000000000002
2023-02-15 14:31:12+00:00,16.426000000000002
2023-02-15 14:46:12+00:00,16.426000000000002
2023-02-15 15:01:12+00:00,16.426000000000002
2023-02-15 15:16:12+00:00,16.426000000000002
2023-02-15 15:31:12+00:00,16.426000000000002
2023-02-15 15:46:12+00:00,16.427
2023-02-15 16:01:12+00:00,16.427
2023-02-15 16:16:12+00:00,16.427
2023-02-15 16:31:12+00:00,16.427
2023-02-15 16:46:12+00:00,16.429000000000002
2023-02-15 17:01:12+00:00,16.429000000000002
2023-02-15 17:16:11+00:00,16.429000000000002
2023-02-15 17:31:11+00:00,16.429000000000002
2023-02-15 17:46:11+00:00,16.429000000000002
2023-02-15 18:01:11+00:00,16.429000000000002
2023-02-15 18:16:12+00:00,16.429000000000002
2023-02-15 18:31:12+00:00,16.429000000000002
2023-02-15 18:46:11+00:00,16.429000000000002
2023-02-15 19:01:12+00:00,16.429000000000002
2023-02-15 19:16:12+00:00,16.429000000000002
2023-02-15 19:31:12+00:00,16.429000000000002
2023-02-15 19:46:11+00:00,16.429000000000002
2023-02-15 20:01:12+00:00,16.429000000000002
2023-02-15 20:16:12+00:00,16.429000000000002
2023-02-15 20:31:12+00:00,16.429000000000002
2023-02-15 20:46:12+00:00,16.429000000000002
2023-02-15 21:01:12+00:00,16.43
2023-02-15 21:16:13+00:00,16.433
2023-02-15 21:31:12+00:00,16.434
2023-02-15 21:46:12+00:00,16.434
2023-02-15 22:01:12+00:00,16.437
