_time,_value
2023-06-01 00:00:36+00:00,901.3480000000001
2023-06-02 00:00:36+00:00,903.826
2023-06-03 00:00:36+00:00,905.966
2023-06-04 00:00:35+00:00,908.793
2023-06-05 00:00:36+00:00,911.284
2023-06-06 00:00:35+00:00,913.166
2023-06-07 00:00:35+00:00,915.814
2023-06-08 00:00:36+00:00,918.504
2023-06-09 00:00:35+00:00,920.323
2023-06-10 00:00:35+00:00,922.025
2023-06-11 00:00:35+00:00,924.955
2023-06-12 00:00:35+00:00,927.32
2023-06-13 00:00:35+00:00,929.891
2023-06-14 00:00:35+00:00,931.9060000000001
2023-06-15 00:00:36+00:00,933.7090000000001
2023-06-16 00:00:35+00:00,936.112
2023-06-17 00:00:36+00:00,937.87
2023-06-18 00:00:35+00:00,940.71
2023-06-19 00:00:36+00:00,945.605
2023-06-20 00:00:35+00:00,948.177
2023-06-21 00:00:35+00:00,950.291
2023-06-22 00:00:36+00:00,952.182
2023-06-23 00:00:36+00:00,954.538
2023-06-24 00:00:36+00:00,956.765
2023-06-25 00:00:35+00:00,959.238
2023-06-26 00:00:36+00:00,961.9590000000001
2023-06-27 00:00:35+00:00,963.99
2023-06-28 00:00:35+00:00,965.794
2023-06-29 00:00:35+00:00,968.203
2023-06-30 00:00:35+00:00,971.384
2023-07-01 00:00:35+00:00,973.413
2023-07-02 00:00:36+00:00,976.5310000000001
2023-07-03 00:00:35+00:00,978.34
2023-07-04 00:00:35+00:00,980.717
2023-07-05 00:00:35+00:00,983.689
2023-07-06 00:00:35+00:00,985.965
2023-07-07 00:00:36+00:00,988.166
2023-07-08 00:00:35+00:00,990.654
2023-07-09 00:00:35+00:00,993.264
2023-07-10 00:00:35+00:00,997.215
2023-07-11 00:00:36+00:00,999.133
2023-07-12 00:00:35+00:00,1000.618
2023-07-13 00:00:35+00:00,1003.5690000000001
2023-07-14 00:00:36+00:00,1005.815
2023-07-15 00:00:37+00:00,1007.539
2023-07-16 00:00:35+00:00,1010.599
2023-07-17 00:00:35+00:00,1012.788
2023-07-18 00:00:35+00:00,1014.88
2023-07-19 00:00:37+00:00,1017.419
2023-07-20 00:00:36+00:00,1019.471
2023-07-21 00:00:35+00:00,1022.248
2023-07-22 00:00:36+00:00,1024.1580000000001
2023-07-23 00:00:35+00:00,1026.2930000000001
2023-07-24 00:00:35+00:00,1028.672
2023-07-25 00:00:36+00:00,1031.012
2023-07-26 00:00:35+00:00,1033.4370000000001
2023-07-27 00:00:35+00:00,1036.91
2023-07-28 00:00:35+00:00,1038.864
2023-07-29 00:00:35+00:00,1040.737
2023-07-30 00:00:35+00:00,1042.167
2023-07-31 00:00:35+00:00,1044.215
2023-08-01 00:00:35+00:00,1047.117
2023-08-02 00:00:48+00:00,1049.7
2023-08-03 00:00:36+00:00,1052.151
2023-08-04 00:00:36+00:00,1054.125
2023-08-05 00:00:36+00:00,1056.15
2023-08-06 00:00:35+00:00,1058.547
2023-08-07 00:00:36+00:00,1061.798
2023-08-08 00:00:36+00:00,1063.5
2023-08-09 00:00:36+00:00,1066.18
2023-08-10 00:00:36+00:00,1069.096
2023-08-11 00:00:36+00:00,1071.811
2023-08-12 00:00:36+00:00,1074.069
2023-08-13 00:00:36+00:00,1076.559
2023-08-14 00:00:36+00:00,1078.942
2023-08-15 00:00:36+00:00,1080.084
2023-08-16 00:00:36+00:00,1081.996
2023-08-17 00:00:36+00:00,1084.5720000000001
2023-08-18 00:00:36+00:00,1086.612
2023-08-19 00:00:36+00:00,1089.039
2023-08-20 00:00:36+00:00,1092.759
2023-08-21 00:00:36+00:00,1096.4270000000001
2023-08-22 00:00:36+00:00,1098.479
2023-08-23 00:00:36+00:00,1100.667
2023-08-24 00:00:36+00:00,1102.881
2023-08-25 00:00:36+00:00,1105.119
2023-08-26 00:00:36+00:00,1106.957
2023-08-27 00:00:36+00:00,1109.945
2023-08-28 00:00:36+00:00,1111.998
2023-08-29 00:00:36+00:00,1113.892
2023-08-30 00:00:36+00:00,1116.588
2023-08-31 00:00:35+00:00,1118.884
2023-10-01 00:00:36+00:00,1196.385
2023-10-02 00:00:36+00:00,1199.526
2023-10-03 00:00:36+00:00,1202.192
2023-10-04 00:00:36+00:00,1204.776
2023-10-05 00:00:36+00:00,1207.378
2023-10-06 00:00:36+00:00,1209.579
2023-10-07 00:00:36+00:00,1211.979
2023-10-08 00:00:36+00:00,1213.087
2023-10-09 00:00:36+00:00,1214.948
2023-10-10 00:00:36+00:00,1217.938
2023-10-11 00:00:36+00:00,1220.153
2023-10-12 00:00:36+00:00,1222.54
2023-10-13 00:00:35+00:00,1224.4270000000001
2023-10-14 00:00:36+00:00,1226.598
2023-10-15 00:00:36+00:00,1229.208
2023-10-16 00:00:35+00:00,1232.349
2023-10-17 00:00:36+00:00,1234.335
2023-10-18 00:00:36+00:00,1236.979
2023-10-19 00:00:35+00:00,1239.226
2023-10-20 00:00:35+00:00,1242.3220000000001
2023-10-21 00:00:35+00:00,1243.971
2023-10-22 00:00:35+00:00,1247.23
2023-10-23 00:00:35+00:00,1249.958
2023-10-24 00:00:36+00:00,1252.249
2023-10-25 00:00:35+00:00,1254.443
2023-10-26 00:00:35+00:00,1256.46
2023-10-27 00:00:35+00:00,1258.912
2023-10-28 00:00:35+00:00,1261.39
2023-10-29 00:00:36+00:00,1264.628
2023-10-30 00:00:35+00:00,1269.592
2023-10-31 00:00:35+00:00,1273.406
2023-11-01 00:00:35+00:00,1276.231
2023-11-02 00:00:36+00:00,1280.085
2023-11-03 00:00:35+00:00,1283.104
2023-11-04 00:00:36+00:00,1285.383
2023-11-05 00:00:36+00:00,1288.002
2023-11-06 00:00:35+00:00,1291.269
2023-11-07 00:00:35+00:00,1294.856
2023-11-08 00:00:35+00:00,1298.003
2023-11-09 00:00:36+00:00,1300.339
2023-11-10 00:00:35+00:00,1303.97
2023-11-11 00:00:35+00:00,1306.575
2023-11-12 00:00:36+00:00,1309.297
2023-11-13 00:00:35+00:00,1312.652
2023-11-14 00:00:36+00:00,1315.729
2023-11-15 00:00:35+00:00,1319.536
2023-11-16 00:00:36+00:00,1323.0330000000001
2023-11-17 00:00:35+00:00,1326.628
2023-11-18 00:00:35+00:00,1330.251
2023-11-19 00:00:35+00:00,1332.9
2023-11-20 00:00:36+00:00,1336.854
2023-11-21 00:00:35+00:00,1340.306
2023-11-22 00:00:36+00:00,1343.359
2023-11-23 00:00:35+00:00,1347.551
2023-11-24 00:00:36+00:00,1354.914
2023-11-25 00:00:35+00:00,1360.691
2023-11-26 00:00:35+00:00,1366.191
2023-11-27 00:00:35+00:00,1372.259
2023-11-28 00:00:35+00:00,1378.249
2023-11-29 00:00:35+00:00,1384.409
2023-11-30 00:00:35+00:00,1390.476
2023-12-01 00:00:35+00:00,1395.618
2023-12-02 00:00:36+00:00,1400.798
2023-12-03 00:00:36+00:00,1404.82
2023-12-04 00:00:36+00:00,1409.298
2023-12-05 00:00:36+00:00,1413.824
2023-12-06 00:00:35+00:00,1417.847
2023-12-07 00:00:36+00:00,1421.961
2023-12-08 00:00:35+00:00,1426.086
2023-12-09 00:00:35+00:00,1430.705
2023-12-10 00:00:36+00:00,1438.058
2023-12-11 00:00:36+00:00,1442.605
2023-12-12 00:00:35+00:00,1446.154
2023-12-13 00:00:36+00:00,1449.837
2023-12-14 00:00:35+00:00,1454.267
2023-12-15 00:00:36+00:00,1456.978
2023-12-16 00:00:36+00:00,1460.182
2023-12-17 00:00:36+00:00,1463.554
2023-12-18 00:00:36+00:00,1467.285
2023-12-19 00:00:35+00:00,1471.1200000000001
2023-12-20 00:00:36+00:00,1473.832
2023-12-21 00:00:35+00:00,1476.1970000000001
2023-12-22 00:00:36+00:00,1479.152
2023-12-23 00:00:35+00:00,1483.676
2023-12-24 00:00:36+00:00,1488.594
2023-12-25 00:00:36+00:00,1494.473
2023-12-26 00:00:35+00:00,1499.3120000000001
2023-12-27 00:00:35+00:00,1502.941
2023-12-28 00:00:36+00:00,1506.547
2023-12-29 00:00:36+00:00,1508.814
2023-12-30 00:00:36+00:00,1511.058
2023-12-31 00:00:36+00:00,1512.893
2024-01-01 00:00:36+00:00,1515.601
2023-01-02 00:00:35+00:00,405.798
2023-01-03 00:00:35+00:00,408.499
2023-01-04 00:00:35+00:00,410.776
2023-01-05 00:00:35+00:00,413.425
2023-01-06 00:00:35+00:00,416.95
2023-01-07 00:00:35+00:00,419.889
2023-01-08 00:00:35+00:00,423.503
2023-01-09 00:00:35+00:00,426.392
2023-01-10 00:00:35+00:00,428.79900000000004
2023-01-11 00:00:35+00:00,431.45
2023-01-12 00:00:35+00:00,434.39300000000003
2023-01-13 00:00:35+00:00,437.862
2023-01-14 00:00:35+00:00,439.53000000000003
2023-01-15 00:00:35+00:00,443.149
2023-01-16 00:00:35+00:00,445.498
2023-01-17 00:00:35+00:00,449.202
2023-01-18 00:00:35+00:00,451.869
2023-01-19 00:00:35+00:00,454.122
2023-01-20 00:00:35+00:00,456.59000000000003
2023-01-21 00:00:35+00:00,459.705
2023-01-22 00:00:35+00:00,462.355
2023-01-23 00:00:35+00:00,465.79
2023-01-24 00:00:35+00:00,468.181
2023-01-25 00:00:35+00:00,470.853
2023-01-26 00:00:36+00:00,473.719
2023-01-27 00:00:35+00:00,475.656
2023-01-28 00:00:35+00:00,477.857
2023-01-29 00:00:35+00:00,481.002
2023-01-30 00:00:35+00:00,484.693
2023-01-31 00:00:35+00:00,489.159
2023-02-01 00:00:35+00:00,491.522
2023-02-02 00:00:35+00:00,493.625
2023-02-03 00:00:35+00:00,496.499
2023-02-04 00:00:35+00:00,499.56
2023-02-05 00:00:35+00:00,501.80400000000003
2023-02-06 00:00:35+00:00,504.563
2023-02-07 00:00:35+00:00,506.168
2023-02-08 00:00:35+00:00,508.55400000000003
2023-02-09 00:00:35+00:00,510.326
2023-02-10 00:00:35+00:00,511.933
2023-02-11 00:00:35+00:00,516.6510000000001
2023-02-12 00:00:36+00:00,519.619
2023-02-13 00:00:35+00:00,522.874
2023-02-14 00:00:35+00:00,527.013
2023-02-14 10:30:46+00:00,527.879
2023-02-14 10:45:36+00:00,528.004
2023-02-14 11:00:36+00:00,528.245
2023-02-14 11:15:36+00:00,528.445
2023-02-14 11:30:35+00:00,528.568
2023-02-14 11:45:35+00:00,528.6560000000001
2023-02-14 12:00:35+00:00,528.737
2023-02-14 12:15:35+00:00,528.818
2023-02-14 12:30:35+00:00,528.987
2023-02-14 12:45:35+00:00,529.1270000000001
2023-02-14 13:00:35+00:00,529.205
2023-02-14 13:15:35+00:00,529.291
2023-02-14 13:30:36+00:00,529.378
2023-02-14 13:45:36+00:00,529.47
2023-02-14 14:00:36+00:00,529.556
2023-02-14 14:15:36+00:00,529.647
