_time,_value
2023-01-02 00:00:57+00:00,23.205000000000002
2023-01-03 00:00:58+00:00,23.35
2023-01-04 00:00:58+00:00,23.491
2023-01-05 00:00:58+00:00,23.671
2023-01-06 00:00:58+00:00,23.824
2023-01-07 00:00:58+00:00,23.916
2023-01-08 00:00:59+00:00,24.158
2023-01-09 00:00:57+00:00,24.315
2023-01-10 00:00:58+00:00,24.448
2023-01-11 00:00:58+00:00,24.559
2023-01-12 00:00:58+00:00,24.71
2023-01-13 00:00:59+00:00,24.902
2023-01-14 00:00:58+00:00,25.081
2023-01-15 00:00:59+00:00,25.262
2023-01-16 00:00:58+00:00,25.417
2023-01-17 00:00:58+00:00,25.675
2023-01-18 00:00:58+00:00,25.845
2023-01-19 00:00:58+00:00,26.05
2023-01-20 00:00:58+00:00,26.202
2023-01-21 00:00:58+00:00,26.377
2023-01-22 00:00:58+00:00,26.587
2023-01-23 00:00:58+00:00,26.810000000000002
2023-01-24 00:00:58+00:00,27.024
2023-01-25 00:00:58+00:00,27.244
2023-01-26 00:00:58+00:00,27.337
2023-01-27 00:00:58+00:00,27.522000000000002
2023-01-28 00:00:58+00:00,27.688
2023-01-29 00:00:58+00:00,27.841
2023-01-30 00:00:58+00:00,28.105
2023-01-31 00:00:58+00:00,28.286
2023-02-01 00:00:58+00:00,28.461000000000002
2023-02-02 00:00:58+00:00,28.653000000000002
2023-02-03 00:00:58+00:00,28.807000000000002
2023-02-04 00:00:58+00:00,28.965
2023-02-05 00:00:58+00:00,29.128
2023-02-06 00:00:58+00:00,29.448
2023-02-07 00:00:58+00:00,29.59
2023-02-08 00:00:59+00:00,29.773
2023-02-09 00:00:58+00:00,29.876
2023-02-10 00:00:58+00:00,30.066
2023-02-11 00:00:58+00:00,30.159
2023-02-12 00:00:58+00:00,30.327
2023-02-13 00:00:58+00:00,30.503
2023-02-14 00:00:58+00:00,30.651
2023-02-15 00:00:59+00:00,30.897000000000002
2023-02-16 00:00:58+00:00,30.997
2023-02-17 00:00:58+00:00,30.998
2023-02-18 00:00:58+00:00,31.0
2023-02-19 00:00:58+00:00,31.003
2023-02-20 00:00:59+00:00,31.006
2023-02-21 00:00:58+00:00,31.006
2023-02-22 00:00:59+00:00,31.006
2023-02-23 00:00:58+00:00,31.006
2023-02-24 00:00:58+00:00,31.006
2023-02-25 00:00:58+00:00,31.006
2023-02-26 00:00:58+00:00,31.006
2023-02-27 00:00:58+00:00,31.006
2023-02-28 00:00:59+00:00,31.006
2023-03-01 00:00:58+00:00,31.007
2023-03-02 00:00:59+00:00,31.007
2023-03-03 00:00:58+00:00,31.1
2023-03-04 00:00:58+00:00,31.206
2023-03-05 00:00:58+00:00,31.331
2023-03-06 00:00:59+00:00,31.475
2023-03-07 00:00:58+00:00,31.604
2023-03-08 00:00:58+00:00,31.817
2023-03-09 00:00:58+00:00,31.916
2023-03-10 00:00:59+00:00,32.071
2023-03-11 00:00:58+00:00,32.18
2023-03-12 00:00:59+00:00,32.18
2023-03-13 00:00:58+00:00,32.257
2023-03-14 00:00:59+00:00,32.401
2023-03-15 00:00:59+00:00,32.525
2023-03-16 00:00:59+00:00,32.683
2023-03-17 00:00:59+00:00,32.84
2023-03-18 00:00:58+00:00,32.980000000000004
2023-03-19 00:00:58+00:00,33.155
2023-03-20 00:00:58+00:00,33.302
2023-03-21 00:00:59+00:00,33.462
2023-03-22 00:00:58+00:00,33.637
2023-03-23 00:00:58+00:00,33.744
2023-03-24 00:00:58+00:00,33.965
2023-03-24 11:38:29+00:00,34.041000000000004
2023-03-25 00:00:59+00:00,34.119
2023-03-26 00:00:59+00:00,34.288000000000004
2023-03-27 00:01:00+00:00,34.467
2023-03-28 00:00:58+00:00,34.613
2023-03-29 00:00:58+00:00,34.789
2023-03-30 00:00:58+00:00,34.981
2023-03-31 00:00:58+00:00,35.214
2023-04-01 00:00:58+00:00,35.35
2023-04-02 00:00:58+00:00,35.57
2023-04-03 00:00:59+00:00,35.779
2023-04-04 00:00:58+00:00,36.0
2023-04-05 00:00:59+00:00,36.191
2023-04-06 00:00:58+00:00,36.303
2023-04-07 00:00:58+00:00,36.454
2023-04-08 00:00:59+00:00,36.660000000000004
2023-04-09 00:00:59+00:00,36.782000000000004
2023-04-10 00:00:58+00:00,36.921
2023-04-11 00:00:59+00:00,37.102000000000004
2023-04-12 00:00:59+00:00,37.289
2023-04-13 00:00:59+00:00,37.42
2023-04-14 00:00:58+00:00,37.654
2023-04-15 00:00:58+00:00,37.773
2023-04-16 00:00:59+00:00,37.909
2023-04-17 00:00:59+00:00,38.164
2023-04-18 00:00:58+00:00,38.361000000000004
2023-04-19 00:00:59+00:00,38.491
2023-04-20 00:00:58+00:00,38.664
2023-04-21 00:00:58+00:00,38.798
2023-04-22 00:00:58+00:00,38.902
2023-04-23 00:00:59+00:00,39.09
2023-04-24 00:00:58+00:00,39.191
2023-04-25 00:00:59+00:00,39.399
2023-04-26 00:00:59+00:00,39.61
2023-04-27 00:00:58+00:00,39.716
2023-04-28 00:00:59+00:00,39.958
2023-04-29 00:00:58+00:00,40.129
2023-04-30 00:00:58+00:00,40.289
2023-05-01 00:00:58+00:00,40.476
2023-05-02 00:00:59+00:00,40.586
2023-05-03 00:00:58+00:00,40.676
2023-05-04 00:00:58+00:00,40.74
2023-05-05 00:00:58+00:00,40.849000000000004
2023-05-06 00:00:58+00:00,41.007
2023-05-07 00:00:58+00:00,41.24
2023-05-08 00:00:59+00:00,41.442
2023-05-09 00:00:58+00:00,41.564
2023-05-10 00:00:58+00:00,41.717
2023-05-11 00:00:59+00:00,41.898
2023-05-12 00:00:58+00:00,42.037
2023-05-13 00:00:58+00:00,42.194
2023-05-14 00:00:58+00:00,42.549
2023-05-15 00:00:58+00:00,42.689
2023-05-16 00:00:59+00:00,42.828
2023-05-17 00:00:58+00:00,42.964
