_time,_value
2023-01-02 00:01:36+00:00,4.876
2023-01-03 00:01:37+00:00,4.938
2023-01-04 00:01:37+00:00,4.973
2023-01-05 00:01:37+00:00,5.022
2023-01-06 00:01:37+00:00,5.0360000000000005
2023-01-07 00:01:36+00:00,5.08
2023-01-08 00:01:38+00:00,5.103
2023-01-09 00:01:37+00:00,5.22
2023-01-10 00:01:37+00:00,5.269
2023-01-11 00:01:38+00:00,5.291
2023-01-12 00:01:37+00:00,5.38
2023-01-13 00:01:38+00:00,5.396
2023-01-14 00:01:37+00:00,5.409
2023-01-15 00:01:38+00:00,5.414
2023-01-16 00:01:37+00:00,5.422
2023-01-17 00:01:37+00:00,5.472
2023-01-18 00:01:37+00:00,5.517
2023-01-19 00:01:37+00:00,5.558
2023-01-20 00:01:37+00:00,5.567
2023-01-21 00:01:37+00:00,5.585
2023-01-22 00:01:37+00:00,5.6000000000000005
2023-01-23 00:01:37+00:00,5.666
2023-01-24 00:01:37+00:00,5.724
2023-01-25 00:01:37+00:00,5.746
2023-01-26 00:01:37+00:00,5.823
2023-01-27 00:01:38+00:00,5.839
2023-01-28 00:01:37+00:00,5.87
2023-01-29 00:01:37+00:00,6.024
2023-01-30 00:01:37+00:00,6.033
2023-01-31 00:01:37+00:00,6.064
2023-02-01 00:01:37+00:00,6.125
2023-02-02 00:01:37+00:00,6.226
2023-02-03 00:01:37+00:00,6.256
2023-02-04 00:01:36+00:00,6.269
2023-02-05 00:01:37+00:00,6.309
2023-02-06 00:01:37+00:00,6.3260000000000005
2023-02-07 00:01:37+00:00,6.343
2023-02-08 00:01:38+00:00,6.389
2023-02-09 00:01:37+00:00,6.4510000000000005
2023-02-10 00:01:37+00:00,6.4590000000000005
2023-02-11 00:01:38+00:00,6.513
2023-02-12 00:01:37+00:00,6.517
2023-02-13 00:01:37+00:00,6.523000000000001
2023-02-14 00:01:37+00:00,6.579
2023-02-15 00:01:38+00:00,6.595
2023-02-16 00:01:37+00:00,6.635
2023-02-17 00:01:37+00:00,6.6530000000000005
2023-02-18 00:01:38+00:00,6.705
2023-02-19 00:01:37+00:00,6.756
2023-02-20 00:01:39+00:00,6.768
2023-02-21 00:01:39+00:00,6.78
2023-02-22 00:01:38+00:00,6.83
2023-02-23 00:01:39+00:00,6.891
2023-02-24 00:01:38+00:00,6.908
2023-02-25 00:01:37+00:00,6.9830000000000005
2023-02-26 00:01:37+00:00,7.002
2023-02-27 00:01:37+00:00,7.071
2023-02-28 00:01:39+00:00,7.078
2023-03-01 00:01:38+00:00,7.159
2023-03-02 00:01:38+00:00,7.2
2023-03-03 00:01:37+00:00,7.248
2023-03-04 00:01:37+00:00,7.264
2023-03-05 00:01:38+00:00,7.311
2023-03-06 00:01:38+00:00,7.3180000000000005
2023-03-07 00:01:37+00:00,7.349
2023-03-08 00:01:37+00:00,7.4030000000000005
2023-03-09 00:01:37+00:00,7.416
2023-03-10 00:01:38+00:00,7.426
2023-03-11 00:01:37+00:00,7.501
2023-03-12 00:01:38+00:00,7.517
2023-03-13 00:01:37+00:00,7.581
2023-03-14 00:01:38+00:00,7.5920000000000005
2023-03-15 00:01:38+00:00,7.61
2023-03-16 00:01:38+00:00,7.66
2023-03-17 00:01:38+00:00,7.6690000000000005
2023-03-18 00:01:38+00:00,7.74
2023-03-19 00:01:37+00:00,7.7540000000000004
2023-03-20 00:01:37+00:00,7.789000000000001
2023-03-21 00:01:39+00:00,7.823
2023-03-22 00:01:37+00:00,7.868
2023-03-23 00:01:37+00:00,7.945
2023-03-24 00:01:37+00:00,7.981
2023-03-24 11:39:49+00:00,7.993
2023-03-25 00:01:39+00:00,8.001
2023-03-26 00:01:38+00:00,8.043000000000001
2023-03-27 00:01:39+00:00,8.057
2023-03-28 00:01:38+00:00,8.095
2023-03-29 00:01:38+00:00,8.119
2023-03-30 00:01:38+00:00,8.185
2023-03-31 00:01:38+00:00,8.199
2023-04-01 00:01:38+00:00,8.28
2023-04-02 00:01:37+00:00,8.294
2023-04-03 00:01:39+00:00,8.328
2023-04-04 00:01:38+00:00,8.342
2023-04-05 00:01:39+00:00,8.438
2023-04-06 00:01:37+00:00,8.449
2023-04-07 00:01:38+00:00,8.46
2023-04-08 00:01:39+00:00,8.537
2023-04-09 00:01:39+00:00,8.574
2023-04-10 00:01:38+00:00,8.656
2023-04-11 00:01:39+00:00,8.668000000000001
2023-04-12 00:01:38+00:00,8.679
2023-04-13 00:01:39+00:00,8.722
2023-04-14 00:01:38+00:00,8.757
2023-04-15 00:01:37+00:00,8.78
2023-04-16 00:01:38+00:00,8.787
2023-04-17 00:01:38+00:00,8.869
2023-04-18 00:01:38+00:00,8.901
2023-04-19 00:01:38+00:00,8.919
2023-04-20 00:01:38+00:00,8.977
2023-04-21 00:01:38+00:00,8.986
2023-04-22 00:01:37+00:00,9.001
2023-04-23 00:01:39+00:00,9.012
2023-04-24 00:01:37+00:00,9.033
2023-04-25 00:01:38+00:00,9.081
2023-04-26 00:01:38+00:00,9.113
2023-04-27 00:01:37+00:00,9.162
2023-04-28 00:01:39+00:00,9.169
2023-04-29 00:01:38+00:00,9.19
2023-04-30 00:01:37+00:00,9.217
2023-05-01 00:01:38+00:00,9.275
2023-05-02 00:01:39+00:00,9.323
2023-05-03 00:01:38+00:00,9.332
2023-05-04 00:01:38+00:00,9.348
2023-05-05 00:01:37+00:00,9.403
2023-05-06 00:01:37+00:00,9.423
2023-05-07 00:01:37+00:00,9.459
2023-05-08 00:01:39+00:00,9.472
2023-05-09 00:01:37+00:00,9.548
2023-05-10 00:01:38+00:00,9.557
2023-05-11 00:01:38+00:00,9.591000000000001
2023-05-12 00:01:37+00:00,9.672
2023-05-13 00:01:37+00:00,9.677
2023-05-14 00:01:38+00:00,9.76
2023-05-15 00:01:38+00:00,9.845
2023-05-16 00:01:39+00:00,9.932
2023-05-17 00:01:38+00:00,9.962
2023-05-18 00:01:39+00:00,9.984
2023-05-19 00:01:38+00:00,10.023
2023-05-20 00:01:39+00:00,10.056000000000001
2023-05-21 00:01:39+00:00,10.088000000000001
2023-05-22 00:01:37+00:00,10.117
2023-05-23 00:01:37+00:00,10.148
2023-05-24 00:01:39+00:00,10.174
2023-05-25 00:01:37+00:00,10.206
2023-05-26 00:01:38+00:00,10.215
2023-05-27 00:01:39+00:00,10.243
2023-05-28 00:01:37+00:00,10.263
2023-05-29 00:01:39+00:00,10.305
2023-05-30 00:01:38+00:00,10.333
2023-05-31 00:01:39+00:00,10.361
2023-06-01 00:01:38+00:00,10.395
2023-06-02 00:01:37+00:00,10.419
2023-06-03 00:01:39+00:00,10.442
2023-06-04 00:01:38+00:00,10.508000000000001
2023-06-05 00:01:39+00:00,10.522
2023-06-06 00:01:37+00:00,10.559000000000001
2023-06-07 00:01:39+00:00,10.633000000000001
2023-06-08 00:01:39+00:00,10.64
2023-06-09 00:01:38+00:00,10.68
2023-06-10 00:01:39+00:00,10.74
2023-06-11 00:01:38+00:00,10.754
2023-06-12 00:01:38+00:00,10.765
2023-06-13 00:01:39+00:00,10.836
2023-06-14 00:01:39+00:00,10.879
2023-06-15 00:01:37+00:00,10.909
2023-06-16 00:01:38+00:00,10.948
2023-06-17 00:01:38+00:00,10.955
2023-06-18 00:01:39+00:00,10.973
2023-06-19 00:01:39+00:00,10.993
2023-06-20 00:01:39+00:00,11.032
2023-06-21 00:01:37+00:00,11.039
2023-06-22 00:01:39+00:00,11.131
2023-06-23 00:01:39+00:00,11.138
2023-06-24 00:01:39+00:00,11.151
2023-06-25 00:01:39+00:00,11.166
2023-06-26 00:01:39+00:00,11.228
2023-06-27 00:01:38+00:00,11.242
2023-06-28 00:01:38+00:00,11.290000000000001
2023-06-29 00:01:38+00:00,11.304
2023-06-30 00:01:38+00:00,11.316
2023-07-01 00:01:39+00:00,11.368
2023-07-02 00:01:37+00:00,11.393
2023-07-03 00:01:38+00:00,11.399000000000001
2023-07-04 00:01:40+00:00,11.451
2023-07-05 00:01:40+00:00,11.464
2023-07-06 00:01:37+00:00,11.53
2023-07-07 00:01:38+00:00,11.552
2023-07-08 00:01:40+00:00,11.566
2023-07-09 00:01:37+00:00,11.648
2023-07-10 00:01:38+00:00,11.663
2023-07-11 00:01:38+00:00,11.71
2023-07-12 00:01:39+00:00,11.731
2023-07-13 00:01:38+00:00,11.786
2023-07-14 00:01:39+00:00,11.798
2023-07-15 00:01:38+00:00,11.821
2023-07-16 00:01:38+00:00,11.837
2023-07-17 00:01:36+00:00,11.85
2023-07-18 00:01:39+00:00,11.902000000000001
2023-07-19 00:01:39+00:00,11.913
2023-07-20 00:01:39+00:00,11.931000000000001
2023-07-21 00:01:38+00:00,11.972
2023-07-22 00:01:38+00:00,12.012
2023-07-23 00:01:38+00:00,12.040000000000001
2023-07-24 00:01:39+00:00,12.099
2023-07-25 00:01:39+00:00,12.107000000000001
2023-07-26 00:01:37+00:00,12.117
2023-07-27 00:01:38+00:00,12.161
2023-07-28 00:01:38+00:00,12.169
2023-07-29 00:01:37+00:00,12.182
2023-07-30 00:01:38+00:00,12.237
