_time,_value
2023-01-02 00:03:58+00:00,9.341000000000001
2023-01-03 00:03:57+00:00,9.4
2023-01-04 00:03:57+00:00,9.435
2023-01-05 00:03:58+00:00,9.486
2023-01-06 00:03:58+00:00,9.522
2023-01-07 00:03:58+00:00,9.566
2023-01-08 00:03:59+00:00,9.595
2023-01-09 00:03:58+00:00,9.632
2023-01-10 00:03:58+00:00,9.657
2023-01-11 00:03:59+00:00,9.702
2023-01-12 00:03:59+00:00,9.772
2023-01-13 00:03:59+00:00,9.791
2023-01-14 00:03:58+00:00,9.842
2023-01-15 00:03:59+00:00,9.863
2023-01-16 00:03:59+00:00,9.904
2023-01-17 00:03:58+00:00,9.94
2023-01-18 00:03:59+00:00,9.993
2023-01-19 00:03:58+00:00,10.035
2023-01-20 00:03:59+00:00,10.082
2023-01-21 00:03:58+00:00,10.119
2023-01-22 00:03:58+00:00,10.155
2023-01-23 00:03:58+00:00,10.195
2023-01-24 00:03:59+00:00,10.223
2023-01-25 00:03:58+00:00,10.265
2023-01-26 00:03:58+00:00,10.308
2023-01-27 00:03:59+00:00,10.388
2023-01-28 00:03:59+00:00,10.445
2023-01-29 00:03:59+00:00,10.49
2023-01-30 00:03:59+00:00,10.53
2023-01-31 00:03:59+00:00,10.572000000000001
2023-02-01 00:03:59+00:00,10.625
2023-02-02 00:03:58+00:00,10.674
2023-02-03 00:03:59+00:00,10.71
2023-02-04 00:03:59+00:00,10.83
2023-02-05 00:03:59+00:00,10.938
2023-02-06 00:03:58+00:00,10.994
2023-02-07 00:03:59+00:00,11.035
2023-02-08 00:04:00+00:00,11.108
2023-02-09 00:03:59+00:00,11.142
2023-02-10 00:03:58+00:00,11.187
2023-02-11 00:04:01+00:00,11.215
2023-02-12 00:04:00+00:00,11.276
2023-02-13 00:04:00+00:00,11.303
2023-02-14 00:04:00+00:00,11.366
2023-02-15 00:04:01+00:00,11.381
2023-02-16 00:04:00+00:00,11.444
2023-02-17 00:04:01+00:00,11.494
2023-02-18 00:04:00+00:00,11.549
2023-02-19 00:03:59+00:00,11.625
2023-02-20 00:04:01+00:00,11.668000000000001
2023-02-21 00:04:02+00:00,11.716000000000001
2023-02-22 00:04:00+00:00,11.782
2023-02-23 00:04:01+00:00,11.824
2023-02-24 00:04:00+00:00,11.867
2023-02-25 00:03:59+00:00,11.902000000000001
2023-02-26 00:04:00+00:00,11.942
2023-02-27 00:04:00+00:00,12.06
2023-02-28 00:04:01+00:00,12.098
2023-03-01 00:03:59+00:00,12.138
2023-03-02 00:04:00+00:00,12.187
2023-03-03 00:03:59+00:00,12.21
2023-03-04 00:03:59+00:00,12.251
2023-03-05 00:04:00+00:00,12.276
2023-03-06 00:04:02+00:00,12.333
2023-03-07 00:04:00+00:00,12.379
2023-03-08 00:04:00+00:00,12.408
2023-03-09 00:04:00+00:00,12.449
2023-03-10 00:03:59+00:00,12.48
2023-03-11 00:03:59+00:00,12.525
2023-03-12 00:04:01+00:00,12.558
2023-03-13 00:03:59+00:00,12.61
2023-03-14 00:04:01+00:00,12.632
2023-03-15 00:04:01+00:00,12.67
2023-03-16 00:04:00+00:00,12.701
2023-03-17 00:04:01+00:00,12.745000000000001
2023-03-18 00:04:00+00:00,12.782
2023-03-19 00:03:59+00:00,12.824
2023-03-20 00:04:01+00:00,12.909
2023-03-21 00:04:01+00:00,12.956
2023-03-22 00:04:00+00:00,13.001
2023-03-23 00:04:00+00:00,13.051
2023-03-24 00:03:59+00:00,13.085
2023-03-24 11:44:39+00:00,13.122
2023-03-25 00:04:02+00:00,13.143
2023-03-26 00:04:02+00:00,13.268
2023-03-27 00:04:02+00:00,13.299
2023-03-28 00:04:01+00:00,13.372
2023-03-29 00:04:00+00:00,13.436
2023-03-30 00:04:02+00:00,13.475
2023-03-31 00:04:00+00:00,13.514000000000001
2023-04-01 00:04:01+00:00,13.552
2023-04-02 00:04:00+00:00,13.58
2023-04-03 00:04:02+00:00,13.617
2023-04-04 00:04:00+00:00,13.689
2023-04-05 00:04:01+00:00,13.718
2023-04-06 00:04:00+00:00,13.81
2023-04-07 00:04:02+00:00,13.836
2023-04-08 00:04:02+00:00,13.885
2023-04-09 00:04:02+00:00,13.918000000000001
2023-04-10 00:04:01+00:00,13.951
2023-04-11 00:04:03+00:00,14.01
2023-04-12 00:04:02+00:00,14.049
2023-04-13 00:04:01+00:00,14.07
2023-04-14 00:04:01+00:00,14.104000000000001
2023-04-15 00:04:01+00:00,14.148
2023-04-16 00:04:02+00:00,14.192
2023-04-17 00:04:01+00:00,14.245000000000001
2023-04-18 00:04:00+00:00,14.279
2023-04-19 00:04:01+00:00,14.306000000000001
2023-04-20 00:04:00+00:00,14.349
2023-04-21 00:04:00+00:00,14.374
2023-04-22 00:04:00+00:00,14.424
2023-04-23 00:04:01+00:00,14.473
2023-04-24 00:04:00+00:00,14.504
2023-04-25 00:04:00+00:00,14.534
2023-04-26 00:04:02+00:00,14.561
2023-04-27 00:04:00+00:00,14.594
2023-04-28 00:04:02+00:00,14.611
2023-04-29 00:04:01+00:00,14.648
2023-04-30 00:03:59+00:00,14.777000000000001
2023-05-01 00:04:01+00:00,14.826
2023-05-02 00:04:02+00:00,14.872
2023-05-03 00:04:01+00:00,14.906
2023-05-04 00:04:01+00:00,14.942
2023-05-05 00:04:01+00:00,14.97
2023-05-06 00:04:00+00:00,15.044
2023-05-07 00:04:00+00:00,15.146
2023-05-08 00:04:02+00:00,15.196
2023-05-09 00:04:00+00:00,15.245000000000001
2023-05-10 00:04:01+00:00,15.287
2023-05-11 00:04:02+00:00,15.362
2023-05-12 00:04:00+00:00,15.427
2023-05-13 00:04:00+00:00,15.509
2023-05-14 00:04:00+00:00,15.551
2023-05-15 00:04:01+00:00,15.594000000000001
2023-05-16 00:04:02+00:00,15.656
2023-05-17 00:04:00+00:00,15.692
2023-05-18 00:04:04+00:00,15.765
2023-05-19 00:04:01+00:00,15.795
2023-05-20 00:04:02+00:00,15.867
2023-05-21 00:04:02+00:00,15.907
2023-05-22 00:04:00+00:00,15.941
2023-05-23 00:04:00+00:00,16.059
2023-05-24 00:04:02+00:00,16.121
2023-05-25 00:03:59+00:00,16.157
2023-05-26 00:03:59+00:00,16.181
2023-05-27 00:04:02+00:00,16.234
2023-05-28 00:04:00+00:00,16.283
2023-05-29 00:04:03+00:00,16.348
2023-05-30 00:04:03+00:00,16.368000000000002
2023-05-31 00:04:03+00:00,16.432
2023-06-01 00:04:01+00:00,16.471
2023-06-02 00:04:01+00:00,16.512
2023-06-03 00:04:02+00:00,16.556
2023-06-04 00:04:02+00:00,16.613
2023-06-05 00:04:03+00:00,16.662
2023-06-06 00:04:00+00:00,16.717
2023-06-07 00:04:02+00:00,16.756
2023-06-08 00:04:02+00:00,16.830000000000002
2023-06-09 00:04:02+00:00,16.908
2023-06-10 00:04:03+00:00,16.935
2023-06-11 00:04:01+00:00,17.001
2023-06-12 00:04:01+00:00,17.084
2023-06-13 00:04:03+00:00,17.128
2023-06-14 00:04:02+00:00,17.168
2023-06-15 00:04:01+00:00,17.213
2023-06-16 00:04:01+00:00,17.246
2023-06-17 00:04:01+00:00,17.28
2023-06-18 00:04:02+00:00,17.363
2023-06-19 00:04:03+00:00,17.423000000000002
2023-06-20 00:04:02+00:00,17.487000000000002
2023-06-21 00:03:59+00:00,17.527
2023-06-22 00:04:02+00:00,17.57
2023-06-23 00:04:04+00:00,17.614
2023-06-24 00:04:02+00:00,17.646
2023-06-25 00:04:02+00:00,17.711000000000002
2023-06-26 00:04:02+00:00,17.781
2023-06-27 00:04:00+00:00,17.862000000000002
2023-06-28 00:04:01+00:00,17.907
2023-06-29 00:04:02+00:00,17.951
2023-06-30 00:04:02+00:00,17.993000000000002
2023-07-01 00:04:03+00:00,18.029
2023-07-02 00:04:02+00:00,18.072
2023-07-03 00:04:02+00:00,18.115000000000002
2023-07-04 00:04:03+00:00,18.148
2023-07-05 00:04:03+00:00,18.197
2023-07-06 00:04:00+00:00,18.221
2023-07-07 00:04:01+00:00,18.262
2023-07-08 00:04:04+00:00,18.298000000000002
2023-07-09 00:04:02+00:00,18.319
2023-07-10 00:04:01+00:00,18.395
2023-07-11 00:04:02+00:00,18.433
2023-07-12 00:04:03+00:00,18.468
2023-07-13 00:04:07+00:00,18.537
2023-07-14 00:04:03+00:00,18.574
2023-07-15 00:04:00+00:00,18.596
2023-07-16 00:04:03+00:00,18.631
2023-07-17 00:04:01+00:00,18.674
2023-07-18 00:04:01+00:00,18.726
2023-07-19 00:04:02+00:00,18.747
2023-07-20 00:04:03+00:00,18.79
2023-07-21 00:04:02+00:00,18.826
2023-07-22 00:04:01+00:00,18.874
2023-07-23 00:03:59+00:00,18.953
2023-07-24 00:04:02+00:00,18.976
2023-07-25 00:04:02+00:00,19.044
2023-07-26 00:04:01+00:00,19.074
2023-07-27 00:04:03+00:00,19.119
2023-07-28 00:04:03+00:00,19.149
2023-07-29 00:04:01+00:00,19.188
2023-07-30 00:04:03+00:00,19.235
2023-07-31 00:04:01+00:00,19.293
2023-08-01 00:04:01+00:00,19.324
2023-08-02 00:04:20+00:00,19.374
2023-08-03 00:04:02+00:00,19.461000000000002
2023-08-04 00:04:01+00:00,19.499
2023-08-05 00:04:03+00:00,19.499
2023-08-06 00:04:00+00:00,19.659
2023-08-07 00:04:00+00:00,19.689
2023-08-08 00:04:00+00:00,19.742
2023-08-09 00:04:00+00:00,19.79
2023-08-10 00:03:59+00:00,19.849
2023-08-11 00:04:00+00:00,19.937
2023-08-12 00:04:01+00:00,19.983
2023-08-13 00:04:01+00:00,20.036
2023-08-14 00:04:00+00:00,20.136
2023-08-15 00:04:00+00:00,20.211000000000002
2023-08-16 00:04:01+00:00,20.276
2023-08-17 00:04:00+00:00,20.326
2023-08-18 00:04:00+00:00,20.393
2023-08-19 00:04:00+00:00,20.43
2023-08-20 00:04:00+00:00,20.508
2023-08-21 00:04:00+00:00,20.56
2023-08-22 00:04:00+00:00,20.594
2023-08-23 00:04:01+00:00,20.666
2023-08-24 00:04:00+00:00,20.702
2023-08-25 00:04:00+00:00,20.785
2023-08-26 00:04:00+00:00,20.805
2023-08-27 00:04:00+00:00,20.851
2023-08-28 00:04:00+00:00,20.926000000000002
2023-08-29 00:04:00+00:00,20.975
2023-08-30 00:04:01+00:00,21.011
2023-08-31 00:04:01+00:00,21.07
2023-09-01 00:03:59+00:00,21.107
2023-09-02 00:04:00+00:00,21.14
2023-09-03 00:04:00+00:00,21.207
2023-09-04 00:04:00+00:00,21.241
