_time,_value
2023-01-02 00:04:04+00:00,1.071
2023-01-03 00:04:04+00:00,1.465
2023-01-04 00:04:04+00:00,1.451
2023-01-05 00:04:05+00:00,1.065
2023-01-06 00:04:05+00:00,1.073
2023-01-07 00:04:05+00:00,1.45
2023-01-08 00:04:06+00:00,1.116
2023-01-09 00:04:04+00:00,1.374
2023-01-10 00:04:05+00:00,1.459
2023-01-11 00:04:05+00:00,1.122
2023-01-12 00:04:06+00:00,1.456
2023-01-13 00:04:06+00:00,1.2710000000000001
2023-01-14 00:04:05+00:00,1.389
2023-01-15 00:04:06+00:00,1.451
2023-01-16 00:04:06+00:00,1.469
2023-01-17 00:04:05+00:00,1.449
2023-01-18 00:04:06+00:00,1.222
2023-01-19 00:04:05+00:00,1.281
2023-01-20 00:04:06+00:00,1.354
2023-01-21 00:04:04+00:00,1.461
2023-01-22 00:04:05+00:00,1.332
2023-01-23 00:04:05+00:00,1.46
2023-01-24 00:04:06+00:00,1.064
2023-01-25 00:04:05+00:00,1.462
2023-01-26 00:04:05+00:00,1.069
2023-01-27 00:04:06+00:00,1.451
2023-01-28 00:04:06+00:00,1.399
2023-01-29 00:04:05+00:00,1.43
2023-01-30 00:04:06+00:00,1.444
2023-01-31 00:04:06+00:00,1.373
2023-02-01 00:04:06+00:00,1.067
2023-02-02 00:04:05+00:00,1.411
2023-02-03 00:04:06+00:00,1.46
2023-02-04 00:04:06+00:00,1.28
2023-02-05 00:04:06+00:00,1.447
2023-02-06 00:04:05+00:00,1.224
2023-02-07 00:04:07+00:00,1.469
2023-02-08 00:04:07+00:00,1.361
2023-02-09 00:04:06+00:00,1.282
2023-02-10 00:04:06+00:00,1.054
2023-02-11 00:04:08+00:00,1.459
2023-02-12 00:04:07+00:00,1.075
2023-02-13 00:04:07+00:00,1.208
2023-02-14 00:04:07+00:00,1.416
2023-02-15 00:04:08+00:00,1.063
2023-02-16 00:04:07+00:00,1.461
2023-02-17 00:04:08+00:00,1.051
2023-02-18 00:04:07+00:00,1.341
2023-02-19 00:04:06+00:00,1.161
2023-02-20 00:04:08+00:00,1.443
2023-02-21 00:04:08+00:00,1.06
2023-02-22 00:04:07+00:00,1.29
2023-02-23 00:04:08+00:00,2.641
2023-02-24 00:04:07+00:00,2.329
2023-02-25 00:04:06+00:00,2.653
2023-02-26 00:04:07+00:00,1.9060000000000001
2023-02-27 00:04:07+00:00,2.642
2023-02-28 00:04:09+00:00,2.645
2023-03-01 00:04:06+00:00,2.568
2023-03-02 00:04:07+00:00,2.527
2023-03-03 00:04:06+00:00,2.642
2023-03-04 00:04:06+00:00,1.893
2023-03-05 00:04:07+00:00,2.64
2023-03-06 00:04:08+00:00,2.525
2023-03-07 00:04:07+00:00,1.936
2023-03-08 00:04:07+00:00,1.915
2023-03-09 00:04:08+00:00,2.234
2023-03-10 00:04:07+00:00,2.632
2023-03-11 00:04:06+00:00,2.375
2023-03-12 00:04:08+00:00,2.661
2023-03-13 00:04:07+00:00,2.556
2023-03-14 00:04:08+00:00,1.925
2023-03-15 00:04:08+00:00,2.619
2023-03-16 00:04:07+00:00,2.616
2023-03-17 00:04:08+00:00,2.093
2023-03-18 00:04:07+00:00,1.922
2023-03-19 00:04:07+00:00,2.049
2023-03-20 00:04:08+00:00,2.5420000000000003
2023-03-21 00:04:08+00:00,1.929
2023-03-22 00:04:07+00:00,1.929
2023-03-23 00:04:07+00:00,2.562
2023-03-24 00:04:06+00:00,2.6550000000000002
2023-03-24 11:44:52+00:00,1.9160000000000001
2023-03-25 00:04:08+00:00,2.441
2023-03-26 00:04:08+00:00,2.624
2023-03-27 00:04:08+00:00,2.6470000000000002
2023-03-28 00:04:07+00:00,2.609
2023-03-29 00:04:07+00:00,2.64
2023-03-30 00:04:08+00:00,2.43
2023-03-31 00:04:07+00:00,2.653
2023-04-01 00:04:08+00:00,1.875
2023-04-02 00:04:07+00:00,2.656
2023-04-03 00:04:09+00:00,2.616
2023-04-04 00:04:07+00:00,1.94
2023-04-05 00:04:08+00:00,1.925
2023-04-06 00:04:07+00:00,2.642
2023-04-07 00:04:09+00:00,2.0300000000000002
2023-04-08 00:04:08+00:00,2.52
2023-04-09 00:04:09+00:00,2.422
2023-04-10 00:04:08+00:00,1.861
2023-04-11 00:04:10+00:00,2.652
2023-04-12 00:04:08+00:00,2.65
2023-04-13 00:04:08+00:00,2.649
2023-04-14 00:04:08+00:00,2.524
2023-04-15 00:04:08+00:00,2.464
2023-04-16 00:04:09+00:00,2.636
2023-04-17 00:04:09+00:00,2.24
2023-04-18 00:04:07+00:00,2.602
2023-04-19 00:04:08+00:00,2.6470000000000002
2023-04-20 00:04:08+00:00,2.466
2023-04-21 00:04:07+00:00,2.638
2023-04-22 00:04:08+00:00,1.911
2023-04-23 00:04:08+00:00,2.613
2023-04-24 00:04:08+00:00,2.418
2023-04-25 00:04:07+00:00,1.903
2023-04-26 00:04:09+00:00,2.398
2023-04-27 00:04:07+00:00,2.61
2023-04-28 00:04:09+00:00,2.445
2023-04-29 00:04:08+00:00,2.54
2023-04-30 00:04:07+00:00,2.564
2023-05-01 00:04:08+00:00,2.6270000000000002
2023-05-02 00:04:09+00:00,2.652
2023-05-03 00:04:08+00:00,2.645
2023-05-04 00:04:08+00:00,2.617
2023-05-05 00:04:08+00:00,2.5460000000000003
2023-05-06 00:04:07+00:00,2.0340000000000003
2023-05-07 00:04:07+00:00,2.048
2023-05-08 00:04:08+00:00,2.555
2023-05-09 00:04:07+00:00,2.543
2023-05-10 00:04:09+00:00,2.6630000000000003
2023-05-11 00:04:09+00:00,1.944
2023-05-12 00:04:08+00:00,2.566
2023-05-13 00:04:07+00:00,2.648
2023-05-14 00:04:07+00:00,2.6310000000000002
2023-05-15 00:04:08+00:00,2.6350000000000002
2023-05-16 00:04:09+00:00,2.617
2023-05-17 00:04:07+00:00,2.551
2023-05-18 00:04:11+00:00,2.537
2023-05-19 00:04:08+00:00,2.29
2023-05-20 00:04:08+00:00,2.649
2023-05-21 00:04:09+00:00,2.541
2023-05-22 00:04:07+00:00,2.577
2023-05-23 00:04:07+00:00,2.322
2023-05-24 00:04:09+00:00,2.633
2023-05-25 00:04:06+00:00,2.3040000000000003
2023-05-26 00:04:08+00:00,2.312
2023-05-27 00:04:09+00:00,2.312
2023-05-28 00:04:08+00:00,2.642
2023-05-29 00:04:09+00:00,2.2840000000000003
2023-05-30 00:04:10+00:00,2.569
2023-05-31 00:04:09+00:00,2.553
2023-06-01 00:04:08+00:00,2.42
2023-06-02 00:04:08+00:00,2.306
2023-06-03 00:04:09+00:00,2.624
2023-06-04 00:04:08+00:00,2.568
2023-06-05 00:04:10+00:00,2.653
2023-06-06 00:04:07+00:00,2.612
2023-06-07 00:04:09+00:00,2.2960000000000003
2023-06-08 00:04:09+00:00,2.5220000000000002
2023-06-09 00:04:08+00:00,2.652
2023-06-10 00:04:10+00:00,2.447
2023-06-11 00:04:08+00:00,2.291
2023-06-12 00:04:08+00:00,2.626
2023-06-13 00:04:09+00:00,2.5460000000000003
2023-06-14 00:04:09+00:00,2.4250000000000003
2023-06-15 00:04:08+00:00,2.645
2023-06-16 00:04:08+00:00,2.535
2023-06-17 00:04:08+00:00,2.67
2023-06-18 00:04:09+00:00,2.323
2023-06-19 00:04:09+00:00,2.3000000000000003
2023-06-20 00:04:09+00:00,2.157
2023-06-21 00:04:07+00:00,2.291
2023-06-22 00:04:09+00:00,2.642
2023-06-23 00:04:11+00:00,2.553
2023-06-24 00:04:09+00:00,2.6430000000000002
2023-06-25 00:04:09+00:00,2.253
2023-06-26 00:04:09+00:00,2.646
2023-06-27 00:04:07+00:00,2.519
2023-06-28 00:04:08+00:00,2.665
2023-06-29 00:04:09+00:00,2.525
2023-06-30 00:04:09+00:00,2.308
2023-07-01 00:04:10+00:00,2.6430000000000002
2023-07-02 00:04:09+00:00,2.644
2023-07-03 00:04:09+00:00,2.448
2023-07-04 00:04:10+00:00,2.291
2023-07-05 00:04:10+00:00,2.286
2023-07-06 00:04:07+00:00,2.531
2023-07-07 00:04:08+00:00,2.2880000000000003
2023-07-08 00:04:10+00:00,2.553
2023-07-09 00:04:09+00:00,2.6270000000000002
2023-07-10 00:04:08+00:00,2.539
2023-07-11 00:04:08+00:00,2.468
2023-07-12 00:04:09+00:00,2.64
2023-07-13 00:04:13+00:00,2.539
2023-07-14 00:04:10+00:00,2.289
2023-07-15 00:04:07+00:00,2.649
2023-07-16 00:04:10+00:00,2.565
2023-07-17 00:04:08+00:00,2.2880000000000003
2023-07-18 00:04:08+00:00,2.657
2023-07-19 00:04:08+00:00,2.285
2023-07-20 00:04:10+00:00,2.416
2023-07-21 00:04:08+00:00,2.56
2023-07-22 00:04:08+00:00,2.638
2023-07-23 00:04:08+00:00,2.286
2023-07-24 00:04:08+00:00,2.282
2023-07-25 00:04:09+00:00,2.565
2023-07-26 00:04:08+00:00,2.314
2023-07-27 00:04:09+00:00,2.657
2023-07-28 00:04:09+00:00,2.662
2023-07-29 00:04:09+00:00,2.282
2023-07-30 00:04:09+00:00,2.637
2023-07-31 00:04:09+00:00,2.629
2023-08-01 00:04:08+00:00,2.5540000000000003
2023-08-02 00:04:27+00:00,2.428
2023-08-03 00:04:08+00:00,2.668
2023-08-04 00:04:07+00:00,2.289
2023-08-05 00:04:09+00:00,2.648
2023-08-06 00:04:07+00:00,2.649
2023-08-07 00:04:07+00:00,2.4210000000000003
2023-08-08 00:04:08+00:00,2.646
2023-08-09 00:04:07+00:00,2.629
2023-08-10 00:04:06+00:00,2.245
2023-08-11 00:04:07+00:00,2.266
2023-08-12 00:04:07+00:00,2.277
2023-08-13 00:04:07+00:00,2.282
2023-08-14 00:04:06+00:00,2.604
2023-08-15 00:04:07+00:00,2.63
2023-08-16 00:04:07+00:00,2.634
