_time,_value
2023-01-02 00:00:39+00:00,0.887
2023-01-03 00:00:39+00:00,0.888
2023-01-04 00:00:39+00:00,0.889
2023-01-05 00:00:39+00:00,0.89
2023-01-06 00:00:39+00:00,0.89
2023-01-07 00:00:39+00:00,0.891
2023-01-08 00:00:39+00:00,0.892
2023-01-09 00:00:39+00:00,0.892
2023-01-10 00:00:39+00:00,0.892
2023-01-11 00:00:39+00:00,0.893
2023-01-12 00:00:39+00:00,0.894
2023-01-13 00:00:39+00:00,0.894
2023-01-14 00:00:39+00:00,0.895
2023-01-15 00:00:39+00:00,0.896
2023-01-16 00:00:40+00:00,0.897
2023-01-17 00:00:39+00:00,0.897
2023-01-18 00:00:39+00:00,0.898
2023-01-19 00:00:40+00:00,0.899
2023-01-20 00:00:39+00:00,0.899
2023-01-21 00:00:39+00:00,0.9
2023-01-22 00:00:39+00:00,0.901
2023-01-23 00:00:39+00:00,0.901
2023-01-24 00:00:40+00:00,0.902
2023-01-25 00:00:39+00:00,0.903
2023-01-26 00:00:40+00:00,0.905
2023-01-27 00:00:39+00:00,0.906
2023-01-28 00:00:39+00:00,0.908
2023-01-29 00:00:39+00:00,0.908
2023-01-30 00:00:39+00:00,0.91
2023-01-31 00:00:39+00:00,0.912
2023-02-01 00:00:39+00:00,0.913
2023-02-02 00:00:39+00:00,0.915
2023-02-03 00:00:39+00:00,0.917
2023-02-04 00:00:40+00:00,0.918
2023-02-05 00:00:39+00:00,0.92
2023-02-06 00:00:39+00:00,0.921
2023-02-07 00:00:39+00:00,0.926
2023-02-08 00:00:39+00:00,0.933
2023-02-09 00:00:39+00:00,0.9410000000000001
2023-02-10 00:00:39+00:00,0.9490000000000001
2023-02-11 00:00:39+00:00,0.9560000000000001
2023-02-12 00:00:40+00:00,0.965
2023-02-13 00:00:39+00:00,0.973
2023-02-14 00:00:39+00:00,0.981
2023-02-14 10:30:52+00:00,0.988
2023-02-14 10:45:40+00:00,0.988
2023-02-14 11:00:40+00:00,0.988
2023-02-14 11:15:40+00:00,0.988
2023-02-14 11:30:40+00:00,0.988
2023-02-14 11:45:39+00:00,0.988
2023-02-14 12:00:39+00:00,0.988
2023-02-14 12:15:39+00:00,0.988
2023-02-14 12:30:39+00:00,0.988
2023-02-14 12:45:40+00:00,0.988
2023-02-14 13:00:39+00:00,0.989
2023-02-14 13:15:39+00:00,0.989
2023-02-14 13:30:41+00:00,0.989
2023-02-14 13:45:40+00:00,0.989
2023-02-14 14:00:40+00:00,0.989
2023-02-14 14:15:40+00:00,0.989
2023-02-14 14:30:40+00:00,0.989
2023-02-14 14:45:40+00:00,0.989
2023-02-14 15:00:40+00:00,0.989
2023-02-14 15:15:39+00:00,0.989
2023-02-14 15:30:39+00:00,0.989
2023-02-14 15:45:39+00:00,0.99
2023-02-14 16:00:39+00:00,0.99
2023-02-14 16:15:39+00:00,0.99
2023-02-14 16:30:39+00:00,0.99
2023-02-14 16:45:39+00:00,0.99
2023-02-14 17:00:39+00:00,0.99
2023-02-14 17:15:39+00:00,0.99
2023-02-14 17:30:39+00:00,0.99
2023-02-14 17:45:39+00:00,0.99
2023-02-14 18:00:39+00:00,0.99
2023-02-14 18:15:39+00:00,0.99
2023-02-14 18:30:39+00:00,0.99
2023-02-14 18:45:39+00:00,0.991
2023-02-14 19:00:39+00:00,0.991
2023-02-14 19:15:39+00:00,0.991
2023-02-14 19:30:39+00:00,0.991
2023-02-14 19:45:39+00:00,0.991
2023-02-14 20:00:39+00:00,0.991
2023-02-14 20:15:39+00:00,0.991
2023-02-14 20:30:39+00:00,0.991
2023-02-14 20:45:39+00:00,0.991
2023-02-14 21:00:39+00:00,0.991
2023-02-14 21:15:39+00:00,0.991
2023-02-14 21:30:39+00:00,0.992
2023-02-14 21:45:39+00:00,0.992
2023-02-14 22:00:39+00:00,0.992
2023-02-14 22:15:39+00:00,0.992
2023-02-14 22:30:39+00:00,0.992
2023-02-14 22:45:39+00:00,0.992
2023-02-14 23:00:39+00:00,0.992
2023-02-14 23:15:39+00:00,0.992
2023-02-14 23:30:39+00:00,0.992
2023-02-14 23:45:39+00:00,0.992
2023-02-15 00:00:40+00:00,0.992
2023-02-15 00:15:39+00:00,0.992
2023-02-15 00:30:39+00:00,0.993
2023-02-15 00:45:39+00:00,0.993
2023-02-15 01:00:39+00:00,0.993
2023-02-15 01:15:39+00:00,0.993
2023-02-15 01:30:39+00:00,0.993
2023-02-15 01:45:39+00:00,0.993
2023-02-15 02:00:39+00:00,0.994
2023-02-15 02:15:39+00:00,0.994
2023-02-15 02:30:39+00:00,0.994
2023-02-15 02:45:39+00:00,0.994
2023-02-15 03:00:39+00:00,0.994
2023-02-15 03:15:39+00:00,0.994
2023-02-15 03:30:39+00:00,0.994
2023-02-15 03:45:39+00:00,0.994
2023-02-15 04:00:39+00:00,0.995
2023-02-15 04:15:39+00:00,0.995
2023-02-15 04:30:39+00:00,0.995
2023-02-15 04:45:39+00:00,0.995
2023-02-15 05:00:39+00:00,0.995
2023-02-15 05:15:39+00:00,0.995
2023-02-15 05:30:39+00:00,0.995
2023-02-15 05:45:39+00:00,0.996
2023-02-15 06:00:39+00:00,0.996
2023-02-15 06:15:39+00:00,0.996
2023-02-15 06:30:39+00:00,0.996
2023-02-15 06:45:39+00:00,0.996
2023-02-15 07:00:39+00:00,0.997
2023-02-15 07:15:39+00:00,0.997
2023-02-15 07:30:39+00:00,0.997
2023-02-15 07:45:39+00:00,0.997
2023-02-15 08:00:39+00:00,0.997
2023-02-15 08:15:39+00:00,0.997
2023-02-15 08:30:39+00:00,0.997
2023-02-15 08:45:39+00:00,0.997
2023-02-15 09:00:47+00:00,0.997
2023-02-15 09:15:39+00:00,0.997
2023-02-15 09:30:39+00:00,0.997
2023-02-15 09:45:39+00:00,0.998
2023-02-15 10:00:39+00:00,0.998
2023-02-15 10:15:39+00:00,0.998
2023-02-15 10:30:39+00:00,0.998
2023-02-15 10:45:39+00:00,0.998
2023-02-15 11:00:39+00:00,0.998
2023-02-15 11:15:39+00:00,0.998
