_time,_value
2023-06-01 00:00:37+00:00,622.646
2023-06-02 00:00:36+00:00,622.9
2023-06-03 00:00:37+00:00,623.153
2023-06-04 00:00:36+00:00,623.4060000000001
2023-06-05 00:00:36+00:00,623.658
2023-06-06 00:00:36+00:00,623.913
2023-06-07 00:00:36+00:00,624.166
2023-06-08 00:00:36+00:00,624.417
2023-06-09 00:00:36+00:00,624.67
2023-06-10 00:00:36+00:00,624.924
2023-06-11 00:00:36+00:00,625.178
2023-06-12 00:00:36+00:00,625.4350000000001
2023-06-13 00:00:36+00:00,625.687
2023-06-14 00:00:36+00:00,625.941
2023-06-15 00:00:36+00:00,626.195
2023-06-16 00:00:36+00:00,626.447
2023-06-17 00:00:36+00:00,627.242
2023-06-18 00:00:35+00:00,628.662
2023-06-19 00:00:36+00:00,630.029
2023-06-20 00:00:36+00:00,630.2810000000001
2023-06-21 00:00:36+00:00,631.453
2023-06-22 00:00:36+00:00,633.061
2023-06-23 00:00:36+00:00,633.867
2023-06-24 00:00:37+00:00,634.852
2023-06-25 00:00:36+00:00,635.479
2023-06-26 00:00:37+00:00,637.455
2023-06-27 00:00:36+00:00,639.489
2023-06-28 00:00:36+00:00,641.615
2023-06-29 00:00:36+00:00,643.389
2023-06-30 00:00:36+00:00,645.375
2023-07-01 00:00:36+00:00,646.196
2023-07-02 00:00:37+00:00,646.446
2023-07-03 00:00:36+00:00,647.537
2023-07-04 00:00:36+00:00,648.682
2023-07-05 00:00:36+00:00,650.53
2023-07-06 00:00:36+00:00,652.155
2023-07-07 00:00:36+00:00,652.987
2023-07-08 00:00:36+00:00,654.311
2023-07-09 00:00:36+00:00,655.715
2023-07-10 00:00:36+00:00,656.821
2023-07-11 00:00:36+00:00,658.058
2023-07-12 00:00:36+00:00,659.19
2023-07-13 00:00:36+00:00,660.5790000000001
2023-07-14 00:00:37+00:00,661.82
2023-07-15 00:00:37+00:00,663.062
2023-07-16 00:00:36+00:00,664.287
2023-07-17 00:00:36+00:00,665.497
2023-07-18 00:00:36+00:00,667.03
2023-07-19 00:00:37+00:00,667.984
2023-07-20 00:00:36+00:00,669.225
2023-07-21 00:00:36+00:00,669.758
2023-07-22 00:00:37+00:00,670.761
2023-07-23 00:00:35+00:00,671.851
2023-07-24 00:00:36+00:00,672.714
2023-07-25 00:00:36+00:00,674.052
2023-07-26 00:00:36+00:00,675.659
