_time,_value
2023-01-02 00:02:01+00:00,3.8120000000000003
2023-01-03 00:02:01+00:00,3.8120000000000003
2023-01-04 00:02:01+00:00,3.8120000000000003
2023-01-05 00:02:01+00:00,3.8120000000000003
2023-01-06 00:02:01+00:00,3.8120000000000003
2023-01-07 00:02:01+00:00,3.8120000000000003
2023-01-08 00:02:02+00:00,3.8120000000000003
2023-01-09 00:02:01+00:00,3.8120000000000003
2023-01-10 00:02:02+00:00,3.8120000000000003
2023-01-11 00:02:02+00:00,3.8120000000000003
2023-01-12 00:02:02+00:00,3.8120000000000003
2023-01-13 00:02:02+00:00,3.8120000000000003
2023-01-14 00:02:02+00:00,3.8120000000000003
2023-01-15 00:02:02+00:00,3.8120000000000003
2023-01-16 00:02:02+00:00,3.8120000000000003
2023-01-17 00:02:01+00:00,3.8240000000000003
2023-01-18 00:02:02+00:00,3.855
2023-01-19 00:02:02+00:00,3.859
2023-01-20 00:02:02+00:00,3.876
2023-01-21 00:02:01+00:00,3.9050000000000002
2023-01-22 00:02:02+00:00,3.939
2023-01-23 00:02:02+00:00,4.0
2023-01-24 00:02:03+00:00,4.026
2023-01-25 00:02:02+00:00,4.038
2023-01-26 00:02:01+00:00,4.059
2023-01-27 00:02:02+00:00,4.135
2023-01-28 00:02:02+00:00,4.158
2023-01-29 00:02:02+00:00,4.2
2023-01-30 00:02:02+00:00,4.314
2023-01-31 00:02:02+00:00,4.381
2023-02-01 00:02:02+00:00,4.408
2023-02-02 00:02:02+00:00,4.4190000000000005
2023-02-03 00:02:02+00:00,4.4510000000000005
2023-02-04 00:02:02+00:00,4.478
2023-02-05 00:02:02+00:00,4.539
2023-02-06 00:02:02+00:00,4.651
2023-02-07 00:02:02+00:00,4.687
2023-02-08 00:02:03+00:00,4.732
2023-02-09 00:02:02+00:00,4.75
2023-02-10 00:02:01+00:00,4.8
2023-02-11 00:02:04+00:00,4.819
2023-02-12 00:02:03+00:00,4.949
2023-02-13 00:02:03+00:00,5.026
2023-02-14 00:02:03+00:00,5.097
2023-02-15 00:02:04+00:00,5.118
2023-02-16 00:02:02+00:00,5.162
2023-02-17 00:02:03+00:00,5.197
2023-02-18 00:02:03+00:00,5.2540000000000004
2023-02-19 00:02:03+00:00,5.303
2023-02-20 00:02:04+00:00,5.361
2023-02-21 00:02:04+00:00,5.446
2023-02-22 00:02:03+00:00,5.472
2023-02-23 00:02:04+00:00,5.5
2023-02-24 00:02:03+00:00,5.558
2023-02-25 00:02:02+00:00,5.61
2023-02-26 00:02:02+00:00,5.648
2023-02-27 00:02:02+00:00,5.747
2023-02-28 00:02:04+00:00,5.769
2023-03-01 00:02:02+00:00,5.809
2023-03-02 00:02:03+00:00,5.849
2023-03-03 00:02:02+00:00,5.908
2023-03-04 00:02:02+00:00,5.954
2023-03-05 00:02:03+00:00,5.96
2023-03-06 00:02:04+00:00,6.055
2023-03-07 00:02:03+00:00,6.088
2023-03-08 00:02:03+00:00,6.109
2023-03-09 00:02:03+00:00,6.172
2023-03-10 00:02:03+00:00,6.212
2023-03-11 00:02:03+00:00,6.248
2023-03-12 00:02:03+00:00,6.3100000000000005
2023-03-13 00:02:02+00:00,6.3790000000000004
2023-03-14 00:02:03+00:00,6.4270000000000005
2023-03-15 00:02:04+00:00,6.458
2023-03-16 00:02:03+00:00,6.492
2023-03-17 00:02:04+00:00,6.5360000000000005
2023-03-18 00:02:03+00:00,6.566
2023-03-19 00:02:02+00:00,6.6370000000000005
2023-03-20 00:02:03+00:00,6.739
2023-03-21 00:02:04+00:00,6.773000000000001
2023-03-22 00:02:02+00:00,6.808
2023-03-23 00:02:02+00:00,6.83
2023-03-24 00:02:02+00:00,6.844
2023-03-24 11:40:40+00:00,6.857
2023-03-25 00:02:04+00:00,6.871
2023-03-26 00:02:04+00:00,6.922
2023-03-27 00:02:04+00:00,6.972
2023-03-28 00:02:03+00:00,7.031000000000001
2023-03-29 00:02:03+00:00,7.078
2023-03-30 00:02:04+00:00,7.099
2023-03-31 00:02:03+00:00,7.121
2023-04-01 00:02:04+00:00,7.1770000000000005
2023-04-02 00:02:02+00:00,7.258
2023-04-03 00:02:05+00:00,7.3100000000000005
2023-04-04 00:02:03+00:00,7.519
2023-04-05 00:02:04+00:00,7.611
2023-04-06 00:02:02+00:00,7.686
2023-04-07 00:02:03+00:00,7.746
2023-04-08 00:02:04+00:00,7.768
2023-04-09 00:02:04+00:00,7.796
2023-04-10 00:02:03+00:00,7.838
2023-04-11 00:02:04+00:00,7.871
2023-04-12 00:02:04+00:00,7.962
2023-04-13 00:02:04+00:00,7.995
2023-04-14 00:02:03+00:00,8.018
2023-04-15 00:02:03+00:00,8.053
2023-04-16 00:02:04+00:00,8.109
2023-04-17 00:02:03+00:00,8.153
2023-04-18 00:02:03+00:00,8.199
2023-04-19 00:02:04+00:00,8.223
2023-04-20 00:02:03+00:00,8.264
2023-04-21 00:02:03+00:00,8.286
2023-04-22 00:02:03+00:00,8.341
2023-04-23 00:02:04+00:00,8.38
2023-04-24 00:02:02+00:00,8.462
2023-04-25 00:02:02+00:00,8.472
2023-04-26 00:02:04+00:00,8.542
2023-04-27 00:02:03+00:00,8.571
2023-04-28 00:02:04+00:00,8.603
2023-04-29 00:02:03+00:00,8.654
2023-04-30 00:02:02+00:00,8.714
2023-05-01 00:02:03+00:00,8.726
2023-05-02 00:02:04+00:00,8.75
