_time,_value
2023-06-01 00:00:25+00:00,313.439
2023-06-02 00:00:25+00:00,313.72
2023-06-03 00:00:25+00:00,314.0
2023-06-04 00:00:25+00:00,314.281
2023-06-05 00:00:25+00:00,314.561
2023-06-06 00:00:24+00:00,314.843
2023-06-07 00:00:24+00:00,315.124
2023-06-08 00:00:24+00:00,315.402
2023-06-09 00:00:24+00:00,315.683
2023-06-10 00:00:24+00:00,315.96500000000003
2023-06-11 00:00:24+00:00,316.306
2023-06-12 00:00:24+00:00,316.59000000000003
2023-06-13 00:00:24+00:00,316.87
2023-06-14 00:00:24+00:00,317.151
2023-06-15 00:00:25+00:00,317.433
2023-06-16 00:00:24+00:00,317.713
2023-06-17 00:00:24+00:00,317.992
2023-06-18 00:00:24+00:00,318.273
2023-06-19 00:00:24+00:00,318.553
2023-06-20 00:00:24+00:00,318.833
2023-06-21 00:00:24+00:00,319.113
2023-06-22 00:00:24+00:00,319.394
2023-06-23 00:00:25+00:00,319.675
2023-06-24 00:00:25+00:00,319.956
2023-06-25 00:00:24+00:00,320.237
2023-06-26 00:00:25+00:00,320.516
2023-06-27 00:00:24+00:00,320.797
2023-06-28 00:00:24+00:00,321.077
2023-06-29 00:00:24+00:00,321.357
2023-06-30 00:00:24+00:00,321.637
2023-07-01 00:00:24+00:00,321.916
2023-07-02 00:00:26+00:00,322.194
2023-07-03 00:00:24+00:00,322.473
2023-07-04 00:00:24+00:00,322.752
2023-07-05 00:00:24+00:00,323.033
2023-07-06 00:00:24+00:00,323.311
2023-07-07 00:00:25+00:00,323.589
2023-07-08 00:00:24+00:00,323.87
2023-07-09 00:00:24+00:00,324.151
2023-07-10 00:00:24+00:00,324.42900000000003
2023-07-11 00:00:25+00:00,324.707
2023-07-12 00:00:24+00:00,324.987
2023-07-13 00:00:24+00:00,325.267
2023-07-14 00:00:25+00:00,325.54900000000004
2023-07-15 00:00:25+00:00,325.831
2023-07-16 00:00:24+00:00,326.11
2023-07-17 00:00:24+00:00,326.389
2023-07-18 00:00:24+00:00,326.668
2023-07-19 00:00:25+00:00,326.946
2023-07-20 00:00:25+00:00,327.222
2023-07-21 00:00:24+00:00,327.499
2023-07-22 00:00:25+00:00,327.778
2023-07-23 00:00:24+00:00,328.05400000000003
2023-07-24 00:00:24+00:00,328.331
2023-07-25 00:00:24+00:00,328.61
2023-07-26 00:00:24+00:00,328.89300000000003
2023-07-27 00:00:24+00:00,329.17
2023-07-28 00:00:24+00:00,329.46500000000003
2023-07-29 00:00:24+00:00,329.759
2023-07-30 00:00:24+00:00,330.036
2023-07-31 00:00:24+00:00,330.35
2023-08-01 00:00:24+00:00,330.666
2023-08-02 00:00:34+00:00,330.979
2023-08-03 00:00:24+00:00,331.296
2023-08-04 00:00:24+00:00,331.611
2023-08-05 00:00:24+00:00,331.927
2023-08-06 00:00:24+00:00,332.242
2023-08-07 00:00:24+00:00,332.559
2023-08-08 00:00:24+00:00,332.872
2023-08-09 00:00:25+00:00,333.19100000000003
2023-08-10 00:00:24+00:00,333.505
2023-08-11 00:00:25+00:00,333.821
2023-08-12 00:00:24+00:00,334.139
2023-08-13 00:00:24+00:00,334.451
2023-08-14 00:00:24+00:00,334.765
2023-08-15 00:00:24+00:00,335.06
2023-08-16 00:00:24+00:00,335.335
2023-08-17 00:00:25+00:00,335.61
2023-08-18 00:00:25+00:00,335.886
2023-08-19 00:00:24+00:00,336.164
2023-08-20 00:00:24+00:00,336.44100000000003
2023-08-21 00:00:24+00:00,336.719
2023-08-22 00:00:25+00:00,336.993
2023-08-23 00:00:24+00:00,337.27
2023-08-24 00:00:24+00:00,337.546
2023-08-25 00:00:24+00:00,337.824
2023-08-26 00:00:24+00:00,338.101
2023-08-27 00:00:24+00:00,338.379
2023-08-28 00:00:24+00:00,338.654
2023-08-29 00:00:24+00:00,338.931
2023-08-30 00:00:25+00:00,339.214
2023-08-31 00:00:24+00:00,339.492
2023-10-01 00:00:25+00:00,348.784
2023-10-02 00:00:24+00:00,349.063
2023-10-03 00:00:25+00:00,350.023
2023-10-04 00:00:24+00:00,350.307
2023-10-05 00:00:24+00:00,351.18
2023-10-06 00:00:24+00:00,351.461
2023-10-07 00:00:24+00:00,351.743
2023-10-08 00:00:24+00:00,352.022
2023-10-09 00:00:24+00:00,352.303
2023-10-10 00:00:24+00:00,352.583
2023-10-11 00:00:25+00:00,353.166
2023-10-12 00:00:24+00:00,354.216
2023-10-13 00:00:24+00:00,354.907
2023-10-14 00:00:24+00:00,355.57800000000003
2023-10-15 00:00:25+00:00,355.874
2023-10-16 00:00:24+00:00,356.457
2023-10-17 00:00:25+00:00,356.741
2023-10-18 00:00:24+00:00,357.496
2023-10-19 00:00:24+00:00,357.785
2023-10-20 00:00:24+00:00,358.06600000000003
2023-10-21 00:00:24+00:00,358.344
2023-10-22 00:00:24+00:00,358.653
2023-10-23 00:00:24+00:00,359.923
2023-10-24 00:00:24+00:00,360.202
2023-10-25 00:00:24+00:00,360.482
2023-10-26 00:00:24+00:00,360.931
2023-10-27 00:00:24+00:00,361.469
2023-10-28 00:00:24+00:00,361.745
2023-10-29 00:00:24+00:00,363.591
2023-10-30 00:00:24+00:00,363.868
2023-10-31 00:00:24+00:00,364.149
2023-11-01 00:00:24+00:00,364.428
2023-11-02 00:00:25+00:00,364.705
2023-11-03 00:00:24+00:00,364.987
2023-11-04 00:00:25+00:00,365.264
2023-11-05 00:00:24+00:00,365.545
2023-11-06 00:00:24+00:00,365.822
2023-11-07 00:00:24+00:00,366.149
2023-11-08 00:00:24+00:00,366.736
2023-11-09 00:00:25+00:00,367.01300000000003
2023-11-10 00:00:24+00:00,368.356
2023-11-11 00:00:24+00:00,368.633
2023-11-12 00:00:24+00:00,368.916
2023-11-13 00:00:24+00:00,369.402
2023-11-14 00:00:25+00:00,369.68
2023-11-15 00:00:24+00:00,369.962
2023-11-16 00:00:25+00:00,370.243
2023-11-17 00:00:24+00:00,370.522
2023-11-18 00:00:24+00:00,370.802
2023-11-19 00:00:24+00:00,371.085
2023-11-20 00:00:24+00:00,371.366
2023-11-21 00:00:24+00:00,371.649
2023-11-22 00:00:25+00:00,371.931
2023-11-23 00:00:24+00:00,372.213
2023-11-24 00:00:25+00:00,372.509
2023-11-25 00:00:24+00:00,373.556
2023-11-26 00:00:24+00:00,375.919
2023-11-27 00:00:24+00:00,377.25600000000003
2023-11-28 00:00:24+00:00,378.782
2023-11-29 00:00:24+00:00,379.064
2023-11-30 00:00:24+00:00,379.347
2023-12-01 00:00:24+00:00,379.63
2023-12-02 00:00:24+00:00,379.915
2023-12-03 00:00:24+00:00,380.201
2023-12-04 00:00:25+00:00,380.487
2023-12-05 00:00:25+00:00,380.778
2023-12-06 00:00:24+00:00,381.071
2023-12-07 00:00:24+00:00,381.357
2023-12-08 00:00:24+00:00,381.648
2023-12-09 00:00:24+00:00,381.933
2023-12-10 00:00:24+00:00,382.224
2023-12-11 00:00:24+00:00,382.515
2023-12-12 00:00:24+00:00,382.801
2023-12-13 00:00:24+00:00,383.084
2023-12-14 00:00:24+00:00,383.365
2023-12-15 00:00:24+00:00,383.648
2023-12-16 00:00:25+00:00,383.931
2023-12-17 00:00:24+00:00,384.212
2023-12-18 00:00:24+00:00,384.492
2023-12-19 00:00:24+00:00,384.774
2023-12-20 00:00:24+00:00,385.056
2023-12-21 00:00:24+00:00,385.337
2023-12-22 00:00:25+00:00,385.62
2023-12-23 00:00:24+00:00,385.91
2023-12-24 00:00:25+00:00,386.206
2023-12-25 00:00:24+00:00,386.502
2023-12-26 00:00:24+00:00,386.795
2023-12-27 00:00:24+00:00,387.087
2023-12-28 00:00:24+00:00,387.378
2023-12-29 00:00:24+00:00,387.669
2023-12-30 00:00:24+00:00,387.96000000000004
2023-12-31 00:00:24+00:00,388.25
2024-01-01 00:00:25+00:00,388.54
2023-01-02 00:00:24+00:00,193.219
2023-01-03 00:00:24+00:00,193.507
2023-01-04 00:00:24+00:00,193.808
2023-01-05 00:00:24+00:00,194.115
2023-01-06 00:00:24+00:00,194.401
2023-01-07 00:00:24+00:00,194.68800000000002
2023-01-08 00:00:24+00:00,194.978
2023-01-09 00:00:24+00:00,195.266
2023-01-10 00:00:24+00:00,195.55700000000002
2023-01-11 00:00:24+00:00,195.846
2023-01-12 00:00:24+00:00,196.13400000000001
2023-01-13 00:00:24+00:00,196.421
2023-01-14 00:00:24+00:00,196.711
2023-01-15 00:00:24+00:00,197.001
2023-01-16 00:00:24+00:00,197.294
2023-01-17 00:00:24+00:00,197.59
2023-01-18 00:00:24+00:00,197.887
2023-01-19 00:00:24+00:00,198.179
2023-01-20 00:00:24+00:00,198.469
2023-01-21 00:00:24+00:00,198.755
2023-01-22 00:00:24+00:00,199.543
2023-01-23 00:00:24+00:00,200.935
2023-01-24 00:00:24+00:00,201.647
2023-01-25 00:00:24+00:00,203.052
2023-01-26 00:00:24+00:00,204.982
