_time,_value
2023-01-02 00:02:08+00:00,6.3100000000000005
2023-01-03 00:02:07+00:00,6.3100000000000005
2023-01-04 00:02:08+00:00,6.3100000000000005
2023-01-05 00:02:08+00:00,6.3100000000000005
2023-01-06 00:02:08+00:00,6.3100000000000005
2023-01-07 00:02:08+00:00,6.3100000000000005
2023-01-08 00:02:09+00:00,6.359
2023-01-09 00:02:08+00:00,6.397
2023-01-10 00:02:08+00:00,6.442
2023-01-11 00:02:09+00:00,6.4830000000000005
2023-01-12 00:02:08+00:00,6.519
2023-01-13 00:02:09+00:00,6.5520000000000005
2023-01-14 00:02:08+00:00,6.581
2023-01-15 00:02:09+00:00,6.659
2023-01-16 00:02:09+00:00,6.739
2023-01-17 00:02:08+00:00,6.784
2023-01-18 00:02:09+00:00,6.815
2023-01-19 00:02:08+00:00,6.847
2023-01-20 00:02:09+00:00,6.882000000000001
2023-01-21 00:02:08+00:00,6.922
2023-01-22 00:02:08+00:00,7.01
2023-01-23 00:02:08+00:00,7.0360000000000005
2023-01-24 00:02:09+00:00,7.081
2023-01-25 00:02:08+00:00,7.127
2023-01-26 00:02:08+00:00,7.171
2023-01-27 00:02:08+00:00,7.204
2023-01-28 00:02:08+00:00,7.243
2023-01-29 00:02:08+00:00,7.276
2023-01-30 00:02:09+00:00,7.352
2023-01-31 00:02:09+00:00,7.399
2023-02-01 00:02:08+00:00,7.432
2023-02-02 00:02:08+00:00,7.4750000000000005
2023-02-03 00:02:08+00:00,7.502
2023-02-04 00:02:09+00:00,7.535
2023-02-05 00:02:08+00:00,7.543
2023-02-06 00:02:08+00:00,7.593
2023-02-07 00:02:08+00:00,7.640000000000001
2023-02-08 00:02:09+00:00,7.674
2023-02-09 00:02:09+00:00,7.708
2023-02-10 00:02:08+00:00,7.747
2023-02-11 00:02:10+00:00,7.8
2023-02-12 00:02:09+00:00,7.8260000000000005
2023-02-13 00:02:09+00:00,7.896
2023-02-14 00:02:09+00:00,7.942
2023-02-15 00:02:10+00:00,7.987
2023-02-16 00:02:09+00:00,8.024000000000001
2023-02-17 00:02:09+00:00,8.052
2023-02-18 00:02:09+00:00,8.084
2023-02-19 00:02:09+00:00,8.127
2023-02-20 00:02:10+00:00,8.26
2023-02-21 00:02:10+00:00,8.295
