_time,_value
2023-01-02 00:01:30+00:00,5.538
2023-01-03 00:01:30+00:00,5.609
2023-01-04 00:01:30+00:00,5.6850000000000005
2023-01-05 00:01:30+00:00,5.743
2023-01-06 00:01:31+00:00,5.746
2023-01-07 00:01:30+00:00,5.772
2023-01-08 00:01:31+00:00,5.82
2023-01-09 00:01:30+00:00,5.8660000000000005
2023-01-10 00:01:30+00:00,5.913
2023-01-11 00:01:31+00:00,5.957
2023-01-12 00:01:31+00:00,5.981
2023-01-13 00:01:31+00:00,5.992
2023-01-14 00:01:31+00:00,6.042
2023-01-15 00:01:32+00:00,6.057
2023-01-16 00:01:31+00:00,6.081
2023-01-17 00:01:30+00:00,6.142
2023-01-18 00:01:31+00:00,6.178
2023-01-19 00:01:31+00:00,6.1930000000000005
2023-01-20 00:01:31+00:00,6.23
2023-01-21 00:01:30+00:00,6.298
2023-01-22 00:01:30+00:00,6.3420000000000005
2023-01-23 00:01:31+00:00,6.368
2023-01-24 00:01:31+00:00,6.4190000000000005
2023-01-25 00:01:30+00:00,6.442
2023-01-26 00:01:30+00:00,6.489
2023-01-27 00:01:31+00:00,6.532
2023-01-28 00:01:31+00:00,6.575
2023-01-29 00:01:31+00:00,6.6240000000000006
2023-01-30 00:01:31+00:00,6.67
2023-01-31 00:01:30+00:00,6.748
2023-02-01 00:01:31+00:00,6.808
2023-02-02 00:01:31+00:00,6.889
2023-02-03 00:01:31+00:00,6.923
2023-02-04 00:01:30+00:00,6.953
2023-02-05 00:01:31+00:00,6.962
2023-02-06 00:01:31+00:00,6.978
2023-02-07 00:01:30+00:00,6.995
2023-02-08 00:01:32+00:00,7.059
2023-02-09 00:01:31+00:00,7.074
2023-02-10 00:01:30+00:00,7.122
2023-02-11 00:01:31+00:00,7.126
2023-02-12 00:01:31+00:00,7.167
2023-02-13 00:01:31+00:00,7.211
2023-02-14 00:01:31+00:00,7.2490000000000006
2023-02-15 00:01:31+00:00,7.289000000000001
2023-02-16 00:01:31+00:00,7.339
2023-02-17 00:01:31+00:00,7.357
2023-02-18 00:01:31+00:00,7.385
2023-02-19 00:01:31+00:00,7.388
2023-02-20 00:01:33+00:00,7.422000000000001
2023-02-21 00:01:33+00:00,7.471
2023-02-22 00:01:32+00:00,7.485
2023-02-23 00:01:33+00:00,7.508
2023-02-24 00:01:32+00:00,7.578
2023-02-25 00:01:31+00:00,7.609
2023-02-26 00:01:31+00:00,7.626
2023-02-27 00:01:30+00:00,7.67
2023-02-28 00:01:32+00:00,7.731
2023-03-01 00:01:31+00:00,7.7490000000000006
2023-03-02 00:01:31+00:00,7.8100000000000005
2023-03-03 00:01:31+00:00,7.852
2023-03-04 00:01:30+00:00,7.888
2023-03-05 00:01:31+00:00,7.906000000000001
2023-03-06 00:01:32+00:00,7.925
2023-03-07 00:01:31+00:00,7.946
2023-03-08 00:01:30+00:00,7.982
2023-03-09 00:01:31+00:00,8.019
2023-03-10 00:01:31+00:00,8.13
2023-03-11 00:01:31+00:00,8.201
2023-03-12 00:01:32+00:00,8.217
2023-03-13 00:01:31+00:00,8.278
2023-03-14 00:01:32+00:00,8.326
2023-03-15 00:01:32+00:00,8.347
2023-03-16 00:01:32+00:00,8.389
2023-03-17 00:01:32+00:00,8.406
2023-03-18 00:01:31+00:00,8.447000000000001
2023-03-19 00:01:30+00:00,8.507
2023-03-20 00:01:31+00:00,8.539
2023-03-21 00:01:32+00:00,8.547
2023-03-22 00:01:31+00:00,8.571
2023-03-23 00:01:31+00:00,8.615
2023-03-24 00:01:31+00:00,8.655
2023-03-24 11:39:36+00:00,8.71
2023-03-25 00:01:32+00:00,8.724
2023-03-26 00:01:32+00:00,8.865
2023-03-27 00:01:32+00:00,8.975
2023-03-28 00:01:32+00:00,9.003
2023-03-29 00:01:31+00:00,9.029
2023-03-30 00:01:31+00:00,9.085
2023-03-31 00:01:31+00:00,9.108
2023-04-01 00:01:32+00:00,9.134
2023-04-02 00:01:31+00:00,9.165000000000001
2023-04-03 00:01:32+00:00,9.198
2023-04-04 00:01:31+00:00,9.257
2023-04-05 00:01:32+00:00,9.28
2023-04-06 00:01:31+00:00,9.329
2023-04-07 00:01:31+00:00,9.395
2023-04-08 00:01:32+00:00,9.424
2023-04-09 00:01:32+00:00,9.488
2023-04-10 00:01:31+00:00,9.498
2023-04-11 00:01:32+00:00,9.579
2023-04-12 00:01:32+00:00,9.677
2023-04-13 00:01:32+00:00,9.707
2023-04-14 00:01:31+00:00,9.739
2023-04-15 00:01:31+00:00,9.814
2023-04-16 00:01:32+00:00,9.877
2023-04-17 00:01:32+00:00,9.962
2023-04-18 00:01:31+00:00,10.029
2023-04-19 00:01:32+00:00,10.078
2023-04-20 00:01:31+00:00,10.196
2023-04-21 00:01:31+00:00,10.286
2023-04-22 00:01:30+00:00,10.318
2023-04-23 00:01:32+00:00,10.431000000000001
2023-04-24 00:01:31+00:00,10.475
2023-04-25 00:01:31+00:00,10.521
2023-04-26 00:01:32+00:00,10.524000000000001
2023-04-27 00:01:31+00:00,10.524000000000001
2023-04-28 00:01:32+00:00,10.527000000000001
2023-04-29 00:01:31+00:00,10.527000000000001
2023-04-30 00:01:31+00:00,10.711
2023-05-01 00:01:31+00:00,10.737
2023-05-02 00:01:32+00:00,10.739
2023-05-03 00:01:32+00:00,10.739
2023-05-04 00:01:31+00:00,10.739
2023-05-05 00:01:30+00:00,10.74
2023-05-06 00:01:30+00:00,10.754
2023-05-07 00:01:31+00:00,10.779
2023-05-08 00:01:32+00:00,10.858
2023-05-09 00:01:31+00:00,10.913
2023-05-10 00:01:31+00:00,10.928
2023-05-11 00:01:32+00:00,10.977
2023-05-12 00:01:31+00:00,11.0
2023-05-13 00:01:30+00:00,11.057
2023-05-14 00:01:31+00:00,11.093
2023-05-15 00:01:32+00:00,11.23
2023-05-16 00:01:32+00:00,11.25
2023-05-17 00:01:31+00:00,11.278
2023-05-18 00:01:32+00:00,11.367
2023-05-19 00:01:31+00:00,11.428
2023-05-20 00:01:33+00:00,11.471
2023-05-21 00:01:33+00:00,11.526
2023-05-22 00:01:31+00:00,11.541
2023-05-23 00:01:31+00:00,11.572000000000001
2023-05-24 00:01:33+00:00,11.673
2023-05-25 00:01:30+00:00,11.725
2023-05-26 00:01:31+00:00,11.769
2023-05-27 00:01:32+00:00,11.8
2023-05-28 00:01:30+00:00,11.807
2023-05-29 00:01:32+00:00,11.899000000000001
2023-05-30 00:01:32+00:00,11.92
2023-05-31 00:01:32+00:00,11.944
2023-06-01 00:01:32+00:00,11.968
2023-06-02 00:01:31+00:00,11.993
2023-06-03 00:01:32+00:00,12.053
2023-06-04 00:01:31+00:00,12.143
2023-06-05 00:01:32+00:00,12.233
2023-06-06 00:01:31+00:00,12.311
2023-06-07 00:01:32+00:00,12.332
2023-06-08 00:01:32+00:00,12.357000000000001
2023-06-09 00:01:32+00:00,12.422
2023-06-10 00:01:33+00:00,12.486
2023-06-11 00:01:31+00:00,12.534
2023-06-12 00:01:31+00:00,12.547
2023-06-13 00:01:32+00:00,12.587
2023-06-14 00:01:33+00:00,12.671000000000001
2023-06-15 00:01:31+00:00,12.693
2023-06-16 00:01:32+00:00,12.738
2023-06-17 00:01:32+00:00,12.754
2023-06-18 00:01:32+00:00,12.927
2023-06-19 00:01:33+00:00,13.013
2023-06-20 00:01:32+00:00,13.036
2023-06-21 00:01:31+00:00,13.079
2023-06-22 00:01:33+00:00,13.106
2023-06-23 00:01:33+00:00,13.111
2023-06-24 00:01:33+00:00,13.202
2023-06-25 00:01:32+00:00,13.239
2023-06-26 00:01:32+00:00,13.255
2023-06-27 00:01:31+00:00,13.273
2023-06-28 00:01:31+00:00,13.327
2023-06-29 00:01:32+00:00,13.347
2023-06-30 00:01:31+00:00,13.364
2023-07-01 00:01:33+00:00,13.394
2023-07-02 00:01:31+00:00,13.413
2023-07-03 00:01:32+00:00,13.418000000000001
2023-07-04 00:01:33+00:00,13.444
2023-07-05 00:01:33+00:00,13.509
2023-07-06 00:01:31+00:00,13.526
2023-07-07 00:01:32+00:00,13.542
2023-07-08 00:01:34+00:00,13.605
2023-07-09 00:01:31+00:00,13.622
2023-07-10 00:01:31+00:00,13.688
2023-07-11 00:01:31+00:00,13.709
2023-07-12 00:01:32+00:00,13.72
2023-07-13 00:01:32+00:00,13.773
2023-07-14 00:01:33+00:00,13.777000000000001
2023-07-15 00:01:31+00:00,13.809000000000001
2023-07-16 00:01:32+00:00,13.825000000000001
2023-07-17 00:01:30+00:00,13.895
2023-07-18 00:01:32+00:00,13.926
2023-07-19 00:01:32+00:00,13.929
2023-07-20 00:01:33+00:00,13.955
2023-07-21 00:01:32+00:00,13.991
2023-07-22 00:01:31+00:00,14.012
2023-07-23 00:01:31+00:00,14.049
2023-07-24 00:01:33+00:00,14.131
2023-07-25 00:01:32+00:00,14.198
2023-07-26 00:01:31+00:00,14.231
2023-07-27 00:01:31+00:00,14.27
2023-07-28 00:01:31+00:00,14.287
2023-07-29 00:01:31+00:00,14.327
2023-07-30 00:01:32+00:00,14.351
2023-07-31 00:01:31+00:00,14.372
2023-08-01 00:01:31+00:00,14.394
2023-08-02 00:01:47+00:00,14.421000000000001
2023-08-03 00:01:31+00:00,14.445
2023-08-04 00:01:31+00:00,14.511000000000001
2023-08-05 00:01:31+00:00,14.540000000000001
2023-08-06 00:01:31+00:00,14.575000000000001
2023-08-07 00:01:30+00:00,14.627
2023-08-08 00:01:31+00:00,14.631
2023-08-09 00:01:31+00:00,14.631
2023-08-10 00:01:30+00:00,14.631
2023-08-11 00:01:31+00:00,14.631
2023-08-12 00:01:31+00:00,14.631
2023-08-13 00:01:31+00:00,14.631
2023-08-14 00:01:30+00:00,14.631
2023-08-15 00:01:31+00:00,14.631
2023-08-16 00:01:31+00:00,14.631
2023-08-17 00:01:30+00:00,14.631
2023-08-18 00:01:31+00:00,14.631
2023-08-19 00:01:31+00:00,14.631
2023-08-20 00:01:31+00:00,14.631
2023-08-21 00:01:31+00:00,14.631
2023-08-22 00:01:30+00:00,14.631
2023-08-23 00:01:31+00:00,14.631
2023-08-24 00:01:31+00:00,14.631
2023-08-25 00:01:30+00:00,14.631
2023-08-26 00:01:31+00:00,14.631
2023-08-27 00:01:31+00:00,14.631
2023-08-28 00:01:31+00:00,14.631
2023-08-29 00:01:30+00:00,14.631
2023-08-30 00:01:31+00:00,14.631
2023-08-31 00:01:31+00:00,14.631
2023-09-01 00:01:30+00:00,14.631
2023-09-02 00:01:31+00:00,14.631
2023-09-03 00:01:31+00:00,14.631
2023-09-04 00:01:31+00:00,14.631
2023-09-05 00:01:31+00:00,14.631
2023-09-06 00:01:31+00:00,14.631
2023-09-07 00:01:31+00:00,14.631
2023-09-08 00:01:31+00:00,14.631
2023-09-09 00:01:31+00:00,14.631
2023-09-10 00:01:31+00:00,14.631
2023-09-11 00:01:30+00:00,14.631
2023-09-12 00:01:31+00:00,14.645
2023-09-13 00:01:30+00:00,14.663
2023-09-14 00:01:31+00:00,14.693
2023-09-15 00:01:31+00:00,14.704
2023-09-16 00:01:31+00:00,14.749
2023-09-17 00:01:31+00:00,14.822000000000001
2023-09-18 00:01:31+00:00,14.848
2023-09-19 00:01:31+00:00,14.874
2023-09-20 00:01:31+00:00,14.888
2023-09-21 00:01:31+00:00,14.934000000000001
2023-09-22 00:01:31+00:00,14.974
2023-09-23 00:01:31+00:00,15.029
2023-09-24 00:01:31+00:00,15.089
2023-09-25 00:01:32+00:00,15.133000000000001
2023-09-26 00:01:31+00:00,15.149000000000001
2023-09-27 00:01:31+00:00,15.189
2023-09-28 00:01:31+00:00,15.205
2023-09-29 00:01:32+00:00,15.255
2023-09-30 00:01:31+00:00,15.281
2023-10-01 00:01:31+00:00,15.309000000000001
2023-10-02 00:01:31+00:00,15.367
2023-10-03 00:01:31+00:00,15.396
2023-10-04 00:01:31+00:00,15.423
2023-10-05 00:01:32+00:00,15.434000000000001
2023-10-06 00:01:31+00:00,15.484
2023-10-07 00:01:31+00:00,15.497
2023-10-08 00:01:31+00:00,15.594000000000001
2023-10-09 00:01:31+00:00,15.594000000000001
2023-10-10 00:01:31+00:00,15.594000000000001
2023-10-11 00:01:31+00:00,15.605
2023-10-12 00:01:32+00:00,15.634
2023-10-13 00:01:31+00:00,15.65
2023-10-14 00:01:31+00:00,15.689
2023-10-15 00:01:31+00:00,15.696
2023-10-16 00:01:31+00:00,15.717
2023-10-17 00:01:31+00:00,15.767
2023-10-18 00:01:31+00:00,15.805
2023-10-19 00:01:31+00:00,15.834
2023-10-20 00:01:31+00:00,15.899000000000001
2023-10-21 00:01:31+00:00,15.908
2023-10-22 00:01:31+00:00,15.908
2023-10-23 00:01:31+00:00,15.938
2023-10-24 00:01:31+00:00,15.965
2023-10-25 00:01:31+00:00,15.978
2023-10-26 00:01:31+00:00,15.991
2023-10-27 00:01:31+00:00,15.994
2023-10-28 00:01:31+00:00,15.994
2023-10-29 00:01:31+00:00,16.077
2023-10-30 00:01:31+00:00,16.114
