_time,_value
2023-01-02 00:00:56+00:00,2.7920000000000003
2023-01-03 00:00:56+00:00,2.7920000000000003
2023-01-04 00:00:56+00:00,2.7920000000000003
2023-01-05 00:00:57+00:00,2.7920000000000003
2023-01-06 00:00:56+00:00,2.8080000000000003
2023-01-07 00:00:56+00:00,2.8080000000000003
2023-01-08 00:00:57+00:00,2.809
2023-01-09 00:00:56+00:00,2.809
2023-01-10 00:00:56+00:00,2.863
2023-01-11 00:00:57+00:00,2.896
2023-01-12 00:00:57+00:00,2.924
2023-01-13 00:00:57+00:00,3.001
2023-01-14 00:00:56+00:00,3.065
2023-01-15 00:00:57+00:00,3.065
2023-01-16 00:00:57+00:00,3.123
2023-01-17 00:00:56+00:00,3.15
2023-01-18 00:00:57+00:00,3.166
2023-01-19 00:00:57+00:00,3.166
2023-01-20 00:00:57+00:00,3.184
2023-01-21 00:00:57+00:00,3.206
2023-01-22 00:00:56+00:00,3.206
2023-01-23 00:00:57+00:00,3.206
2023-01-24 00:00:57+00:00,3.248
2023-01-25 00:00:56+00:00,3.2680000000000002
2023-01-26 00:00:56+00:00,3.2680000000000002
2023-01-27 00:00:57+00:00,3.2960000000000003
2023-01-28 00:00:56+00:00,3.322
2023-01-29 00:00:56+00:00,3.402
2023-01-30 00:00:56+00:00,3.466
2023-01-31 00:00:56+00:00,3.494
2023-02-01 00:00:57+00:00,3.551
2023-02-02 00:00:57+00:00,3.615
2023-02-03 00:00:57+00:00,3.646
2023-02-04 00:00:56+00:00,3.68
2023-02-05 00:00:57+00:00,3.743
2023-02-06 00:00:57+00:00,3.858
2023-02-07 00:00:57+00:00,3.886
2023-02-08 00:00:57+00:00,3.9130000000000003
2023-02-09 00:00:57+00:00,3.993
2023-02-10 00:00:56+00:00,3.993
2023-02-11 00:00:57+00:00,3.993
2023-02-12 00:00:57+00:00,3.993
2023-02-13 00:00:57+00:00,3.993
2023-02-14 00:00:57+00:00,3.993
2023-02-15 00:00:57+00:00,3.993
2023-02-16 00:00:57+00:00,3.993
2023-02-17 00:00:57+00:00,3.993
2023-02-18 00:00:57+00:00,3.993
2023-02-19 00:00:57+00:00,3.993
2023-02-20 00:00:57+00:00,3.993
2023-02-21 00:00:56+00:00,3.993
2023-02-22 00:00:58+00:00,3.993
2023-02-23 00:00:57+00:00,3.993
2023-02-24 00:00:57+00:00,3.993
